tokenchunk1,tokenchunk2,label
to help,said,AFTER
want to build,said,IS_INCLUDED
said,a news conference,IS_INCLUDED
led,terrorist attacks,AFTER
became,to ratify,SIMULTANEOUS
have approved,said,BEFORE
participate,have approved,AFTER
was spotted,was killed,BEFORE
obtained,said,AFTER
was driven,the shooting,AFTER
The ceremony,will take,IDENTITY
vanished,the shooting,AFTER
was seen,the slaying,BEFORE
was unearthed,a search,DURING
and was found abandoned,and was found abandoned,AFTER
was spotted,the shooting,BEFORE
reburying,fleeing,BEFORE
to fire,reburying,BEFORE
digging,to fire,BEFORE
may have been buried,the shooting,BEFORE
have been searching,the Oct. 23 slaying,AFTER
was spotted,the shooting,BEFORE
seen,issued,BEFORE
has been arrested,abortion protests,DURING
the Slepian QUOTs shooting,had traveled,AFTER
were removed,agreed,AFTER
went,died,IBEFORE
went,the blast,IDENTITY
U.S. Embassy blasts,the blast,IDENTITY
has been offered,his capture,BEFORE
is accused,has been offered,BEFORE
U.S. Embassy blasts,the attack,IDENTITY
masterminding,the attack,BEFORE
U.S. Embassy blasts,masterminding,AFTER
is accused,masterminding,AFTER
a search,has been launched,BEGUN_BY
reported,has been launched,AFTER
arrested,to be deported,IBEFORE
said,arrested,AFTER
rented,was used,DURING_INV
the bombings,rented,AFTER
the bombings,killed,IBEFORE
the bombings,the bombings,IDENTITY
is investigating and prosecuting,the bombings,AFTER
is investigating and prosecuting,is investigating and prosecuting,BEFORE
U.S. Embassy blasts,the bombings,IDENTITY
brought,the bombings,AFTER
The latest arrest,brought,BEFORE
was arrested,The latest arrest,IDENTITY
was scheduled to appear,was scheduled to appear,BEFORE
was brought,trial,BEFORE
was arrested,was brought,BEFORE
operations,the Alabama clinic bombing,BEGUN_BY
was canceled,were leaked,AFTER
attended,was killed,AFTER
suggested,has been used,AFTER
said,suggested,AFTER
picking,could positively identify,BEFORE
contained,picking,BEFORE
the blast site,picking,BEFORE
taken,the blast site,AFTER
contained,taken,AFTER
are expected,contained,AFTER
said,are expected,BEFORE
is being analyzed,said,DURING
arrived,is being analyzed,BEFORE
the Nairobi bombing,arrived,BEFORE
the Aug. 7 bombings,the U.S. Embassy bombings,IDENTITY
handed,the U.S. Embassy bombings,AFTER
came,handed,AFTER
warned QUOTQUOT,ordered,BEFORE
issued,warned QUOTQUOT,BEFORE
lifted,ease,BEFORE
set,trip,BEFORE
set,vacation plans,BEFORE
saying,had been rescuing,AFTER
disputed,saying,IDENTITY
have complained,disputed,BEFORE
gave,saving,BEFORE
have complained,saving,AFTER
the Nairobi bombing,gave,BEFORE
have complained,gave,AFTER
have complained,the Nairobi bombing,AFTER
was designed,growing terrorist threats,AFTER
Albright QUOTs visit,was designed,AFTER
is scheduled to spend,her first stop,INCLUDES
a 16-hour flight,is scheduled to spend,BEFORE
a 16-hour flight,is scheduled to spend,AFTER
can to ease,help,SIMULTANEOUS
can to ease,their suffering,AFTER
will bring,doing,BEFORE
leaving,will bring,BEFORE
said,leaving,BEFORE
their continued efforts,said,BEFORE
will bring,said,AFTER
headed,claimed,AFTER
the bombings,claimed,BEFORE
the bombings,targeted U.S. embassies,INCLUDES
headed,the bombings,AFTER
headed,seeking to demonstrate,INCLUDES
has not appeared,could be located,BEFORE
the announcement,could be located,BEFORE
has not appeared,the announcement,AFTER
announced,the announcement,IDENTITY
the decision,announced,IS_INCLUDED
would appeal,the decision,AFTER
said,would appeal,BEFORE
said,announced,AFTER
saying,could provide,INCLUDES
have fought to keep,saying,INCLUDES
have fought to keep,have fought to keep,BEFORE
died trying to get,wants,BEFORE
died trying to get,died trying to get,SIMULTANEOUS
died trying to get,died trying to get,DURING
Found,died trying to get,AFTER
Found,an international custody battle,BEFORE
trying to block,the child QUOTs return,BEFORE
trying to block,trying to block,BEFORE
to help prevent,trying to block,BEFORE
to help prevent,to help prevent,BEFORE
appealed to world,to help prevent,BEFORE
read,the rally,IS_INCLUDED
said,read,BEFORE
said,the rally,IS_INCLUDED
must not stop,the rally,AFTER
can not stop mobilizing,must not stop,IDENTITY
can not stop mobilizing,can not stop mobilizing,BEFORE
exhorted,can not stop mobilizing,BEFORE
Elian QUOTs return,comes,INCLUDES
return,his return,IDENTITY
return,Elian QUOTs return,IDENTITY
pressing,Elian QUOTs return,INCLUDES
mass protests,pressing,INCLUDES
to keep,mass protests,INCLUDES
exhorted,to keep,BEFORE
to impede or delay QUOTQUOT,to impede or delay QUOTQUOT,BEFORE
QUOTQUOT proceed,to impede or delay QUOTQUOT,BEFORE
QUOTQUOT proceed,to impede or delay QUOTQUOT,BEFORE
a pro-Elian rally,attended,INCLUDES
his return,a pro-Elian rally,AFTER
his return,said,AFTER
read,a pro-Elian rally,IS_INCLUDED
said,read,BEFORE
return,warned,AFTER
the U.S. government decision,warned,BEFORE
will be repatriated,warned,AFTER
return,will be repatriated,INCLUDES
the U.S. government decision,return,BEFORE
the announcement,could be located,BEFORE
has not appeared,could be located,BEFORE
has not appeared,the announcement,AFTER
was announced,the announcement,IDENTITY
the INS decision,the decision,IDENTITY
will appeal,the decision,AFTER
have said,will appeal,BEFORE
the INS decision,have said,BEFORE
the INS decision,was announced,BEFORE
saying,could provide,BEFORE
have fought to keep,saying,INCLUDES
have fought to keep,was announced,BEFORE
have fought to keep,have fought to keep,BEFORE
Rescued,have fought to keep,BEFORE
Rescued,wants,BEFORE
trying to get,trying to get,BEFORE
a boating accident,trying to get,IS_INCLUDED
died,a boating accident,AFTER
Rescued,died,AFTER
has become,an international custody battle,BEFORE
Rescued,has become,BEFORE
was read,several thousand rallying Cuban scientists,IS_INCLUDED
said,was read,BEFORE
can not stop mobilizing,must not stop,IDENTITY
can not stop mobilizing,can not stop mobilizing,AFTER
can not stop mobilizing,said,IS_INCLUDED
to impede or delay QUOTQUOT,the ruling,BEFORE
to impede or delay QUOTQUOT,the ruling,BEFORE
to impede or delay QUOTQUOT,to impede or delay QUOTQUOT,SIMULTANEOUS
QUOTQUOT proceed,to impede or delay QUOTQUOT,BEFORE
QUOTQUOT proceed,to impede or delay QUOTQUOT,BEFORE
QUOTQUOT proceed,predicted,IS_INCLUDED
to keep,rallying,BEFORE
exhorted,to keep,BEFORE
exhorted,Wednesday QUOTs ruling,AFTER
Elian QUOTs return,Wednesday QUOTs ruling,AFTER
Elian QUOTs return,said,AFTER
said,to repatriate,BEFORE
would look,to get,BEFORE
said,would look,BEFORE
said,Wednesday QUOTs ruling,AFTER
the repatriation,to repatriate,IDENTITY
the boy QUOTs return,to return,IDENTITY
the boy QUOTs return,Elian QUOTs return,IDENTITY
Gonzalez QUOTs return,Elian QUOTs return,IDENTITY
had to use,to clear,BEFORE
blocked,had to use,BEFORE
chanting QUOTQUOT,had to use,BEFORE
blocked,cut,BEFORE
chanting QUOTQUOT,blocked,INCLUDES
chanted,chanting QUOTQUOT,IDENTITY
showed,called,INCLUDES
chanted,rallies,DURING
demanding QUOTQUOT,chanted,DURING_INV
carrying,demanding QUOTQUOT,BEFORE
showed,demanding QUOTQUOT,INCLUDES
showed,carrying,INCLUDES
the rally,showed,BEFORE
a rally,the rally,IDENTITY
said,has written,AFTER
invasions COMMA sabotage and attempts,said,BEFORE
invasions COMMA sabotage and attempts,said,BEFORE
invasions COMMA sabotage and attempts,said,BEFORE
invasions COMMA sabotage and attempts,invasions COMMA sabotage and attempts,BEFORE
invasions COMMA sabotage and attempts,invasions COMMA sabotage and attempts,BEFORE
invasions COMMA sabotage and attempts,to kill,BEFORE
to demand,Gonzalez QUOTs return,BEFORE
a rally,to demand,INCLUDES
attended,to demand,BEFORE
attended,a rally,IS_INCLUDED
warning,to return,BEFORE
the U.S. government QUOTs decision,to return,BEFORE
protests,the U.S. government QUOTs decision,AFTER
force,the U.S. government QUOTs decision,AFTER
force,the reversal,BEFORE
warning,force,BEFORE
appeared aimed,warning,BEFORE
appeared aimed,appeared aimed,AFTER
protests,appeared aimed,BEFORE
protesting,protests,IDENTITY
to ensure,the boy QUOTs return,BEFORE
their own demonstrations,to ensure,BEFORE
to keep,their own demonstrations,BEFORE
urged,to keep,BEFORE
state-run television broadcast footage,urged,SIMULTANEOUS
protesting,the repatriation,BEFORE
state-run television broadcast footage,protesting,DURING
wants,to come,BEFORE
said,wants,INCLUDES
said,said,BEFORE
tells,said,IS_INCLUDED
does not want to go,does not want to go,BEFORE
tells,does not want to go,INCLUDES
played,tells,BEFORE
chased,nipped,BEFORE
played,nipped,INCLUDES
played,chased,INCLUDES
looked,crying,AFTER
the group sang,looked,INCLUDES
began weeping,the group sang,IS_INCLUDED
The rally,the group sang,INCLUDES
began weeping,began weeping,BEFORE
The rally,began weeping,INCLUDES
mass mobilization,was returned,ENDED_BY
promised,mass mobilization,BEFORE
was marked,promised,BEFORE
The rally,promised,INCLUDES
The rally,was marked,INCLUDES
rallied,The rally,IDENTITY
is sent,is going to break,BEFORE
marched,is sent,BEFORE
is sent,said,AFTER
marched,said,INCLUDES
said QUOTQUOT,Please keep,BEFORE
carried,Please keep,BEFORE
carried,said QUOTQUOT,INCLUDES
marched,carried,INCLUDES
waving,chanting QUOTQUOT,SIMULTANEOUS
marched,chanting QUOTQUOT,INCLUDES
marched,waving,INCLUDES
called,marched,BEFORE
were forced to use,to disperse,BEFORE
were forced to use,were forced to use,BEFORE
were arrested,were forced to use,AFTER
need to keep,need to keep,BEFORE
said,need to keep,BEFORE
followed,said,BEFORE
believe,followed,AFTER
believe,said,IS_INCLUDED
said,said,BEFORE
the INS decision,approved,AFTER
was consulted,approved,BEFORE
was consulted,the INS decision,BEFORE
has said,was consulted,AFTER
plan to respond,has said,AFTER
said,has said,AFTER
plan to respond,said,AFTER
the meeting,plan to respond,BEFORE
raised,the meeting,IS_INCLUDED
said,raised,AFTER
said,is considering,AFTER
asked,to reverse,BEFORE
flew,to appeal,BEFORE
accompanied,flew,IS_INCLUDED
rallied,sang,INCLUDES
to demand,sang,BEFORE
to demand,his return,BEFORE
rallied,to demand,INCLUDES
the judge QUOTs ruling COMMA,is expected,AFTER
would comment,the judge QUOTs ruling COMMA,BEFORE
filed,said,BEFORE
to get,to file,BEFORE
an attempt,to file,BEFORE
an attempt,to get,BEFORE
filed,an attempt,INCLUDES
said,filed,AFTER
gives,will not be repatriated,BEFORE
said,will not be repatriated,BEFORE
is affording,gives,SIMULTANEOUS
said,gives,AFTER
is affording,said,BEFORE
requires,will be sought,BEFORE
attend,will be sought,AFTER
the hearing,will be sought,AFTER
attend,the hearing,BEFORE
requires,attend,BEFORE
said,attend,BEFORE
said,requires,BEFORE
spoke,said,INCLUDES
said,spoke,BEFORE
named,strengthened,AFTER
is taken,address,BEFORE
to ensure,is taken,BEFORE
said,to ensure,BEFORE
issued,to ensure,BEFORE
said,issued,AFTER
The decision,said,BEFORE
touched,protests,BEFORE
The decision,touched,BEFORE
ruled,must be returned,BEFORE
was found,was placed,BEFORE
trying to reach,trying to reach,BEFORE
drowned,trying to reach,AFTER
was found,drowned,AFTER
was found,clinging,ENDS
can speak,be delayed,BEFORE
said,can speak,BEFORE
has said,can speak,BEFORE
said,has said,AFTER
a news conference,has said,INCLUDES
said,a news conference,IS_INCLUDED
subpoenaed,said,BEFORE
gave,heading,BEFORE
appeared,gave,BEFORE
cheered,appeared,AFTER
being held,appeared,IS_INCLUDED
holding,appeared,IS_INCLUDED
holding,being held,SIMULTANEOUS
cheered,holding,DURING
subpoenaed,cheered,BEFORE
testify,consider,AFTER
to testify,testify,IDENTITY
said,testify,BEFORE
said,subpoenaed,AFTER
subpoenaed,subpoenaed,IDENTITY
sought to become,sought to become,BEFORE
subpoenaed,to testify,BEFORE
to prevent,Elian Gonzalez QUOTs return,BEFORE
to prevent,subpoenaed,AFTER
say,died to give,BEFORE
oppose,say,BEFORE
oppose,the boy QUOTs return,BEFORE
saying,oppose,AFTER
is fighting to keep,oppose,INCLUDES
saying,can give,BEFORE
is fighting to keep,saying,INCLUDES
is fighting to keep,is fighting to keep,BEFORE
said,to make,BEFORE
rejecting,said,INCLUDES
to hear,arguments,INCLUDES
allowed,rejecting,AFTER
allowed,the extension,BEFORE
the dispute,a battle,IDENTITY
a clash,the dispute,IDENTITY
his sea rescue,a clash,BEGINS
his sea rescue,ideological battle,AFTER
his sea rescue,referred,BEFORE
was found clinging,his sea rescue,IDENTITY
told,said,IDENTITY
would go,said,AFTER
to get,To get,IDENTITY
would go,to get,BEFORE
to go,would go,IDENTITY
return,become,AFTER
could pick,return,BEFORE
become,embroiled,BEFORE
was assured,could pick,BEFORE
told,was assured,BEFORE
to go,was assured,AFTER
to go,to retrieve,BEFORE
told,to go,BEFORE
said,told,BEFORE
will prevent,his speedy return,BEFORE
involved,will prevent,BEFORE
become,involved,BEFORE
goes,become,BEFORE
going,goes,IDENTITY
have gotten,said,BEFORE
have gotten,to appear,BEFORE
said,said,BEFORE
going,have counseled,AFTER
said,have counseled,AFTER
going,to retrieve,BEFORE
has not prohibited,going,BEFORE
said,has not prohibited,AFTER
dismissed,said,BEFORE
Elian QUOTs father travel,to pick,BEFORE
dismissed,Elian QUOTs father travel,BEFORE
said,dismissed,BEFORE
No enforcement action,No enforcement action,AFTER
No enforcement action,announced,BEFORE
announced,said,BEFORE
told,said,IS_INCLUDED
Reno QUOTs failure,the INS QUOTs failure,BEFORE
the INS QUOTs failure,to enforce,BEFORE
Reno QUOTs failure,to set,BEFORE
lifted,Reno QUOTs failure,BEFORE
told,Reno QUOTs failure,AFTER
lifted,told,BEFORE
to fight,to keep,BEFORE
to give,to fight,BEFORE
lifted,to give,BEFORE
and set,his repatriation,BEFORE
had ruled,and set,BEFORE
must be returned,his repatriation,INCLUDES
had ruled,must be returned,BEFORE
had ruled,his repatriation,BEFORE
do not want to send,do not want to send,BEFORE
the international dispute,do not want to send,INCLUDES
a failed attempt,to reach,BEFORE
a failed attempt,a failed attempt,AFTER
died,a failed attempt,AFTER
was found clinging,died,AFTER
was found clinging,was found clinging,ENDS
the international dispute,was found clinging,BEGUN_BY
the revolution,brought,BEFORE
the triumph,the revolution,ENDS
the larger demonstrations,rallied,INCLUDES
The protest,marked,BEFORE
the march,The protest,IDENTITY
the QUOTQUOT March,the march,IDENTITY
participated,the march,IS_INCLUDED
QUOTQUOT pushing,participated,IS_INCLUDED
estimated,participated,AFTER
the QUOTQUOT March,estimated,BEFORE
the QUOTQUOT March,QUOTQUOT pushing,INCLUDES
a massive demonstration,the QUOTQUOT March,IDENTITY
chanting QUOTQUOT,Bring,BEFORE
marched,chanting QUOTQUOT,INCLUDES
waving,chanting QUOTQUOT,SIMULTANEOUS
marched,waving,INCLUDES
carrying,marched,IS_INCLUDED
a massive demonstration,marched,INCLUDES
demanding,carrying,BEFORE
a massive demonstration,carrying,INCLUDES
demanding,Elian QUOTs return,BEFORE
a massive demonstration,demanding,INCLUDES
expressed,a massive demonstration,BEFORE
to enforce,a repatriation order,BEFORE
Washington QUOTs failure,to enforce,BEFORE
expressed,Washington QUOTs failure,AFTER
said,expressed,SIMULTANEOUS
to go,to bring,BEFORE
said,to go,BEFORE
the announcement,could be located,BEFORE
has not appeared,could be located,BEFORE
has not appeared,the announcement,AFTER
was announced,the announcement,IDENTITY
the INS decision,the decision,IDENTITY
will appeal,the decision,AFTER
have said,will appeal,BEFORE
the INS decision,have said,BEFORE
the INS decision,was announced,BEFORE
saying,could provide,BEFORE
have fought to keep,saying,INCLUDES
have fought to keep,was announced,INCLUDES
have fought to keep,have fought to keep,BEFORE
Rescued,have fought to keep,BEFORE
Rescued,wants,BEFORE
trying to get,trying to get,BEFORE
a boating accident,trying to get,IS_INCLUDED
died,a boating accident,AFTER
Rescued,died,AFTER
has become,an international custody battle,BEFORE
Rescued,has become,BEFORE
was read,several thousand rallying Cuban scientists,IS_INCLUDED
said,was read,BEFORE
can not stop mobilizing,must not stop,IDENTITY
can not stop mobilizing,can not stop mobilizing,AFTER
can not stop mobilizing,said,IS_INCLUDED
to impede or delay QUOTQUOT,the ruling,BEFORE
to impede or delay QUOTQUOT,the ruling,BEFORE
to impede or delay QUOTQUOT,to impede or delay QUOTQUOT,SIMULTANEOUS
QUOTQUOT proceed,to impede or delay QUOTQUOT,BEFORE
QUOTQUOT proceed,to impede or delay QUOTQUOT,BEFORE
QUOTQUOT proceed,predicted,IS_INCLUDED
to keep,rallying,BEFORE
exhorted,to keep,BEFORE
exhorted,Wednesday QUOTs ruling,AFTER
Elian QUOTs return,Wednesday QUOTs ruling,AFTER
Elian QUOTs return,said,AFTER
said,to repatriate,BEFORE
would look,to get,BEFORE
said,would look,BEFORE
said,Wednesday QUOTs ruling,AFTER
the repatriation,to repatriate,IDENTITY
the boy QUOTs return,to return,IDENTITY
the boy QUOTs return,Elian QUOTs return,IDENTITY
Gonzalez QUOTs return,Elian QUOTs return,IDENTITY
had to use,to clear,BEFORE
blocked,had to use,BEFORE
chanting QUOTQUOT,had to use,BEFORE
blocked,cut,BEFORE
chanting QUOTQUOT,blocked,INCLUDES
chanted,chanting QUOTQUOT,IDENTITY
showed,called,INCLUDES
chanted,rallies,DURING
demanding QUOTQUOT,chanted,DURING_INV
carrying,demanding QUOTQUOT,BEFORE
showed,demanding QUOTQUOT,INCLUDES
showed,carrying,INCLUDES
the rally,showed,BEFORE
a rally,the rally,IDENTITY
said,has written,AFTER
invasions COMMA sabotage and attempts,said,BEFORE
invasions COMMA sabotage and attempts,said,BEFORE
invasions COMMA sabotage and attempts,said,BEFORE
invasions COMMA sabotage and attempts,invasions COMMA sabotage and attempts,BEFORE
invasions COMMA sabotage and attempts,invasions COMMA sabotage and attempts,BEFORE
invasions COMMA sabotage and attempts,to kill,BEFORE
to demand,Gonzalez QUOTs return,BEFORE
a rally,to demand,INCLUDES
attended,to demand,BEFORE
attended,a rally,IS_INCLUDED
warning,to return,BEFORE
the U.S. government QUOTs decision,to return,BEFORE
protests,the U.S. government QUOTs decision,AFTER
force,the U.S. government QUOTs decision,AFTER
force,the reversal,BEFORE
warning,force,BEFORE
appeared aimed,warning,BEFORE
appeared aimed,appeared aimed,AFTER
protests,appeared aimed,BEFORE
protesting,protests,IDENTITY
to ensure,the boy QUOTs return,BEFORE
their own demonstrations,to ensure,BEFORE
to keep,their own demonstrations,BEFORE
urged,to keep,BEFORE
state-run television broadcast footage,urged,SIMULTANEOUS
protesting,the repatriation,BEFORE
state-run television broadcast footage,protesting,DURING
has been arrested,abortion protests,DURING
repeated,said,BEFORE
said,return,BEFORE
are not going to buy,are not going to buy,BEFORE
had offered,to stay,BEFORE
repeated,had offered,AFTER
criticized,repeated,BEFORE
