token1,token2,lemma1,lemma2,label
ask,approve,ask,approve,BEFORE
announced,pledged,announce,pledge,BEFORE
meeting,pledged,meeting,pledge,INCLUDES
meeting,announced,meeting,announce,IS_INCLUDED
meeting,told,meeting,tell,INCLUDES
lavished,meeting,lavish,meeting,BEFORE
helped,lavished,help,lavish,IBEFORE
helped,arrest,help,arrest,BEFORE
allowed,helped,allow,help,BEFORE
toured,found,tour,find,INCLUDES
bombing,explosion,bombing,explosion,AFTER
allowed,explosion,allow,explosion,AFTER
toured,allowed,tour,allow,INCLUDES
wearing,toured,wear,tour,DURING
handed,toured,hand,tour,BEFORE
handed,wearing,hand,wear,BEFORE
laid,handed,lay,hand,BEFORE
blast,killed,blast,kill,IBEFORE
blasts,blast,blast,blast,IDENTITY
left,blast,leave,blast,AFTER
laid,left,lay,leave,AFTER
spent,laid,spend,lay,INCLUDES
visit,returning,visit,return,BEFORE
meet,visit,meet,visit,IS_INCLUDED
talk,visit,talk,visit,IS_INCLUDED
lay,visit,lie,visit,IS_INCLUDED
talk,meet,talk,meet,BEFORE
talk,survived,talk,survive,AFTER
blasts,blast,blast,blast,IDENTITY
survived,blast,survive,blast,AFTER
lay,talk,lie,talk,BEFORE
heading,lay,head,lie,BEFORE
flown,overheated,fly,overheat,BEFORE
heading,overheated,head,overheat,AFTER
heading,flown,head,fly,AFTER
flight,flown,flight,fly,IDENTITY
spent,heading,spend,head,BEFORE
arriving,flight,arrive,flight,IAFTER
visit,arriving,visit,arrive,INCLUDES
implicated,questioning,implicate,question,IS_INCLUDED
admitted,questioning,admit,question,IS_INCLUDED
admitted,implicated,admit,implicate,IBEFORE
bombings,crimes,bombing,crime,IDENTITY
returned,admitted,return,admit,AFTER
said,returned,say,return,AFTER
bombing,bombings,bombing,bombing,IDENTITY
arrived,pushed,arrive,push,SIMULTANEOUS
blasts,killed,blast,kill,INCLUDES
bombing,blasts,bombing,blast,IDENTITY
arrived,hoped,arrive,hope,IBEFORE
told,arrived,tell,arrive,BEFORE
promise,told,promise,tell,IS_INCLUDED
promised,promise,promise,promise,IDENTITY
visit,promised,visit,promise,INCLUDES
paid,visit,pay,visit,IS_INCLUDED
strikes,struck,strike,strike,IDENTITY
said,struck,say,strike,AFTER
bombings,attacks,bombing,attack,IDENTITY
said,attacks,say,attack,AFTER
killed,injured,kill,injure,DURING
bombings,injured,bombing,injure,IBEFORE
bombings,killed,bombing,kill,IBEFORE
bombings,bombings,bombing,bombing,IDENTITY
taken,said,take,say,BEFORE
understands,said,understand,say,IS_INCLUDED
appreciates,understands,appreciates,understand,SIMULTANEOUS
appreciates,said,appreciates,say,IS_INCLUDED
defend,said,defend,say,AFTER
said,said,say,say,IDENTITY
launched,strikes,launch,strike,BEGINS
Retaliating,launched,retaliate,launch,INCLUDES
bombings,bombings,bombing,bombing,IDENTITY
Retaliating,bombings,retaliate,bombing,AFTER
bombings,show,bombing,show,BEGINS
said,show,say,show,AFTER
said,bombings,say,bombing,AFTER
said,said,say,say,IDENTITY
said,attacks,say,attack,AFTER
defend,attacks,defend,attack,IDENTITY
defend,said,defend,say,BEFORE
defend,actions,defend,action,AFTER
blast,bombings,blast,bombing,IDENTITY
explosion,bombings,explosion,bombing,IDENTITY
risen,said,rise,say,BEFORE
blast,risen,blast,rise,BEFORE
explosion,blast,explosion,blast,IDENTITY
explosion,ripped,explosion,rip,INCLUDES
blast,explosion,blast,explosion,SIMULTANEOUS
blast,blast,blast,blast,IDENTITY
trip,said,trip,say,AFTER
visit,trip,visit,trip,IDENTITY
talking,visit,talk,visit,BEFORE
blast,talking,blast,talk,AFTER
hospitalized,said,hospitalize,say,BEFORE
blast,hospitalized,blast,hospitalize,BEFORE
continued,relocation,continue,relocation,INCLUDES
bombing,blast,bombing,blast,IDENTITY
continued,blast,continue,blast,BEFORE
shattered,toppled,shatter,topple,SIMULTANEOUS
damaged,shattered,damage,shatter,SIMULTANEOUS
blast,toppled,blast,topple,IBEFORE
blast,shattered,blast,shatter,IBEFORE
blast,damaged,blast,damage,IBEFORE
cut,blast,cut,blast,IAFTER
bombing,blast,bombing,blast,IDENTITY
met,told,meet,tell,BEFORE
met,finish,meet,finish,INCLUDES
killing,wounding,kill,wound,SIMULTANEOUS
went,wounding,go,wound,IBEFORE
went,killing,go,kill,IBEFORE
bombing,went,bombing,go,IDENTITY
talking,went,talk,go,DURING
ended,talking,end,talk,BEFORE
interrupted,bombing,interrupt,bombing,BEGUN_BY
talks,interrupted,talk,interrupt,AFTER
meeting,finish,meeting,finish,INCLUDES
wrapped,meeting,wrap,meeting,IS_INCLUDED
raided,bombings,raid,bombing,AFTER
bombings,bombings,bombing,bombing,IDENTITY
bombings,bombings,bombing,bombing,IDENTITY
raided,searched,raid,search,BEFORE
exploded,transported,explode,transport,AFTER
bombing,exploded,bombing,explode,IDENTITY
said,originated,say,originate,AFTER
bombing,originated,bombing,originate,AFTER
originated,transferred,originate,transfer,BEFORE
bombing,carried,bombing,carry,AFTER
determined,carried,determine,carry,AFTER
discoveries,determined,discovery,determine,AFTER
said,discoveries,say,discovery,AFTER
allege,attacks,allege,attack,AFTER
bombings,attacks,bombing,attack,IDENTITY
handed,trial,hand,trial,BEFORE
bombing,handed,bombing,hand,BEFORE
killed,killed,kill,kill,IDENTITY
killed,killed,kill,kill,IDENTITY
bombings,injured,bombing,injure,IBEFORE
bombings,killed,bombing,kill,IBEFORE
gave,reached,give,reach,BEFORE
expelled,expulsions,expel,expulsion,IDENTITY
deported,expulsions,deport,expulsion,IDENTITY
said,gave,say,give,INCLUDES
deported,said,deport,say,BEFORE
disclosed,said,disclose,say,BEFORE
disclosed,deported,disclose,deport,BEFORE
escorted,said,escort,say,BEFORE
expelled,flight,expel,flight,INCLUDES
put,flight,put,flight,BEFORE
expelled,put,expel,put,INCLUDES
escorted,put,escort,put,BEFORE
expelled,escorted,expel,escort,INCLUDES
questioned,bombing,question,bombing,AFTER
expelled,questioned,expel,question,AFTER
expelled,reported,expel,report,BEFORE
said,report,say,report,BEFORE
consider,set,consider,set,BEFORE
meeting,consider,meet,consider,BEFORE
bombing,bombing,bombing,bombing,IDENTITY
meeting,bombing,meet,bombing,AFTER
worked,bombing,work,bombing,AFTER
killed,bombing,kill,bombing,IAFTER
killed,injured,kill,injure,SIMULTANEOUS
bombings,injured,bombing,injure,IBEFORE
bombings,killed,bombing,kill,IBEFORE
meet,disasters,meet,disaster,AFTER
want,meet,want,meet,BEFORE
said,want,say,want,INCLUDES
suffered,bombing,suffer,bombing,BEGUN_BY
help,suffered,help,suffer,AFTER
help,said,help,say,AFTER
want,said,want,say,IS_INCLUDED
said,conference,say,conference,IS_INCLUDED
led,attacks,lead,attack,AFTER
became,ratify,become,ratify,SIMULTANEOUS
approved,said,approve,say,BEFORE
participate,approved,participate,approve,AFTER
spotted,killed,spot,kill,BEFORE
obtained,said,obtain,say,AFTER
driven,shooting,drive,shooting,AFTER
ceremony,take,ceremony,take,IDENTITY
vanished,shooting,vanish,shooting,AFTER
seen,slaying,see,slaying,BEFORE
unearthed,search,unearthed,search,DURING
found,abandoned,find,abandon,AFTER
spotted,shooting,spot,shooting,BEFORE
reburying,fleeing,rebury,flee,BEFORE
fire,reburying,fire,rebury,BEFORE
digging,fire,digging,fire,BEFORE
buried,shooting,bury,shooting,BEFORE
searching,slaying,search,slaying,AFTER
spotted,shooting,spot,shooting,BEFORE
seen,issued,see,issue,BEFORE
arrested,protests,arrest,protest,DURING
shooting,traveled,shooting,travel,AFTER
removed,agreed,remove,agree,AFTER
went,died,go,die,IBEFORE
went,blast,go,blast,IDENTITY
blasts,blast,blast,blast,IDENTITY
offered,capture,offer,capture,BEFORE
accused,offered,accuse,offer,BEFORE
blasts,attack,blast,attack,IDENTITY
masterminding,attack,mastermind,attack,BEFORE
blasts,masterminding,blast,mastermind,AFTER
accused,masterminding,accuse,mastermind,AFTER
search,launched,search,launch,BEGUN_BY
reported,launched,report,launch,AFTER
arrested,deported,arrest,deport,IBEFORE
said,arrested,say,arrest,AFTER
rented,used,rent,use,DURING_INV
bombings,rented,bombing,rent,AFTER
bombings,killed,bombing,kill,IBEFORE
bombings,bombings,bombing,bombing,IDENTITY
prosecuting,bombings,prosecute,bombing,AFTER
investigating,prosecuting,investigate,prosecute,BEFORE
blasts,bombings,blast,bombing,IDENTITY
brought,bombings,bring,bombing,AFTER
arrest,brought,arrest,bring,BEFORE
arrested,arrest,arrest,arrest,IDENTITY
scheduled,appear,schedule,appear,BEFORE
brought,trial,bring,trial,BEFORE
arrested,brought,arrest,bring,BEFORE
operations,bombing,operation,bombing,BEGUN_BY
canceled,leaked,cancel,leak,AFTER
attended,killed,attend,kill,AFTER
suggested,used,suggest,use,AFTER
said,suggested,say,suggest,AFTER
picking,identify,pick,identify,BEFORE
contained,picking,contain,pick,BEFORE
blast,picking,blast,pick,BEFORE
taken,blast,take,blast,AFTER
contained,taken,contain,take,AFTER
expected,contained,expect,contain,AFTER
said,expected,say,expect,BEFORE
analyzed,said,analyze,say,DURING
arrived,analyzed,arrive,analyze,BEFORE
bombing,arrived,bombing,arrive,BEFORE
bombings,bombings,bombing,bombing,IDENTITY
handed,bombings,hand,bombing,AFTER
came,handed,come,hand,AFTER
warned,ordered,warn,order,BEFORE
issued,warned,issue,warn,BEFORE
lifted,ease,lift,ease,BEFORE
set,trip,set,trip,BEFORE
set,vacation,set,vacation,BEFORE
saying,rescuing,say,rescue,AFTER
disputed,saying,dispute,say,IDENTITY
complained,disputed,complain,dispute,BEFORE
gave,saving,give,save,BEFORE
complained,saving,complain,save,AFTER
bombing,gave,bombing,give,BEFORE
complained,gave,complain,give,AFTER
complained,bombing,complain,bombing,AFTER
designed,threats,design,threat,AFTER
visit,designed,visit,design,AFTER
spend,stop,spend,stop,INCLUDES
flight,spend,flight,spend,BEFORE
flight,scheduled,flight,schedule,AFTER
ease,help,ease,help,SIMULTANEOUS
ease,suffering,ease,suffering,AFTER
bring,doing,bring,do,BEFORE
leaving,bring,leave,bring,BEFORE
said,leaving,say,leave,BEFORE
continued,said,continued,say,BEFORE
bring,said,bring,say,AFTER
headed,claimed,head,claimed,AFTER
bombings,claimed,bombing,claimed,BEFORE
bombings,targeted,bombing,target,INCLUDES
headed,bombings,head,bombing,AFTER
headed,seeking,head,seek,INCLUDES
appeared,located,appear,locate,BEFORE
announcement,located,announcement,locate,BEFORE
appeared,announcement,appear,announcement,AFTER
announced,announcement,announce,announcement,IDENTITY
decision,announced,decision,announce,IS_INCLUDED
appeal,decision,appeal,decision,AFTER
said,appeal,say,appeal,BEFORE
said,announced,say,announce,AFTER
saying,provide,say,provide,INCLUDES
fought,saying,fight,say,INCLUDES
fought,keep,fight,keep,BEFORE
died,wants,die,want,BEFORE
trying,get,try,get,SIMULTANEOUS
died,trying,die,try,DURING
Found,died,found,die,AFTER
Found,battle,found,battle,BEFORE
block,return,block,return,BEFORE
trying,block,try,block,BEFORE
prevent,trying,prevent,try,BEFORE
help,prevent,help,prevent,BEFORE
appealed,help,appeal,help,BEFORE
read,rally,read,rally,IS_INCLUDED
said,read,say,read,BEFORE
said,rally,say,rally,IS_INCLUDED
stop,rally,stop,rally,AFTER
stop,stop,stop,stop,IDENTITY
stop,mobilizing,stop,mobilize,BEFORE
exhorted,stop,exhort,stop,BEFORE
return,comes,return,come,INCLUDES
return,return,return,return,IDENTITY
return,return,return,return,IDENTITY
pressing,return,press,return,INCLUDES
protests,pressing,protest,press,INCLUDES
keep,protests,keep,protest,INCLUDES
exhorted,keep,exhort,keep,BEFORE
impede,delay,impede,delay,BEFORE
proceed,delay,proceed,delay,BEFORE
proceed,impede,proceed,impede,BEFORE
rally,attended,rally,attend,INCLUDES
return,rally,return,rally,AFTER
return,said,return,say,AFTER
read,rally,read,rally,IS_INCLUDED
said,read,say,read,BEFORE
return,warned,return,warn,AFTER
decision,warned,decision,warn,BEFORE
repatriated,warned,repatriate,warn,AFTER
return,repatriated,return,repatriate,INCLUDES
decision,return,decision,return,BEFORE
announcement,located,announcement,locate,BEFORE
appeared,located,appear,locate,BEFORE
appeared,announcement,appear,announcement,AFTER
announced,announcement,announce,announcement,IDENTITY
decision,decision,decision,decision,IDENTITY
appeal,decision,appeal,decision,AFTER
said,appeal,say,appeal,BEFORE
decision,said,decision,say,BEFORE
decision,announced,decision,announce,BEFORE
saying,provide,say,provide,BEFORE
fought,saying,fight,say,INCLUDES
fought,announced,fight,announce,BEFORE
fought,keep,fight,keep,BEFORE
Rescued,fought,rescue,fight,BEFORE
Rescued,wants,rescue,want,BEFORE
trying,get,try,get,BEFORE
accident,trying,accident,try,IS_INCLUDED
died,accident,die,accident,AFTER
Rescued,died,rescue,die,AFTER
become,battle,become,battle,BEFORE
Rescued,become,rescue,become,BEFORE
read,rallying,read,rallying,IS_INCLUDED
said,read,say,read,BEFORE
stop,stop,stop,stop,IDENTITY
stop,mobilizing,stop,mobilize,AFTER
stop,said,stop,say,IS_INCLUDED
delay,ruling,delay,ruling,BEFORE
impede,ruling,impede,ruling,BEFORE
impede,delay,impede,delay,SIMULTANEOUS
proceed,delay,proceed,delay,BEFORE
proceed,impede,proceed,impede,BEFORE
proceed,predicted,proceed,predict,IS_INCLUDED
keep,rallying,keep,rallying,BEFORE
exhorted,keep,exhort,keep,BEFORE
exhorted,ruling,exhort,ruling,AFTER
return,ruling,return,ruling,AFTER
return,said,return,say,AFTER
said,repatriate,say,repatriate,BEFORE
look,get,look,get,BEFORE
said,look,say,look,BEFORE
said,ruling,say,ruling,AFTER
repatriation,repatriate,repatriation,repatriate,IDENTITY
return,return,return,return,IDENTITY
return,return,return,return,IDENTITY
return,return,return,return,IDENTITY
use,clear,use,clear,BEFORE
blocked,use,block,use,BEFORE
chanting,use,chanting,use,BEFORE
blocked,cut,block,cut,BEFORE
chanting,blocked,chanting,block,INCLUDES
chanted,chanting,chant,chanting,IDENTITY
showed,called,show,call,INCLUDES
chanted,rallies,chant,rally,DURING
demanding,chanted,demand,chant,DURING_INV
carrying,demanding,carry,demand,BEFORE
showed,demanding,show,demand,INCLUDES
showed,carrying,show,carry,INCLUDES
rally,showed,rally,show,BEFORE
rally,rally,rally,rally,IDENTITY
said,written,say,write,AFTER
attempts,said,attempt,say,BEFORE
sabotage,said,sabotage,say,BEFORE
invasions,said,invasion,say,BEFORE
sabotage,attempts,sabotage,attempt,BEFORE
invasions,sabotage,invasion,sabotage,BEFORE
attempts,kill,attempt,kill,BEFORE
demand,return,demand,return,BEFORE
rally,demand,rally,demand,INCLUDES
attended,demand,attend,demand,BEFORE
attended,rally,attend,rally,IS_INCLUDED
warning,return,warn,return,BEFORE
decision,return,decision,return,BEFORE
protests,decision,protest,decision,AFTER
force,decision,force,decision,AFTER
force,reversal,force,reversal,BEFORE
warning,force,warn,force,BEFORE
aimed,warning,aim,warn,BEFORE
appeared,aimed,appear,aim,AFTER
protests,appeared,protest,appear,BEFORE
protesting,protests,protest,protest,IDENTITY
ensure,return,ensure,return,BEFORE
demonstrations,ensure,demonstration,ensure,BEFORE
keep,demonstrations,keep,demonstration,BEFORE
urged,keep,urge,keep,BEFORE
broadcast,urged,broadcast,urge,SIMULTANEOUS
protesting,repatriation,protest,repatriation,BEFORE
broadcast,protesting,broadcast,protest,DURING
wants,come,want,come,BEFORE
said,wants,say,want,INCLUDES
said,said,say,say,BEFORE
tells,said,tells,say,IS_INCLUDED
want,go,want,go,BEFORE
tells,want,tells,want,INCLUDES
played,tells,play,tells,BEFORE
chased,nipped,chase,nip,BEFORE
played,nipped,play,nip,INCLUDES
played,chased,play,chase,INCLUDES
looked,crying,look,cry,AFTER
sang,looked,sang,look,INCLUDES
began,sang,begin,sang,IS_INCLUDED
rally,sang,rally,sang,INCLUDES
began,weeping,begin,weep,BEFORE
rally,began,rally,begin,INCLUDES
mobilization,returned,mobilization,return,ENDED_BY
promised,mobilization,promise,mobilization,BEFORE
marked,promised,mark,promise,BEFORE
rally,promised,rally,promise,INCLUDES
rally,marked,rally,mark,INCLUDES
rallied,rally,rally,rally,IDENTITY
sent,break,send,break,BEFORE
marched,sent,march,send,BEFORE
sent,said,send,say,AFTER
marched,said,march,say,INCLUDES
said,keep,say,keep,BEFORE
carried,keep,carry,keep,BEFORE
carried,said,carry,say,INCLUDES
marched,carried,march,carry,INCLUDES
waving,chanting,wave,chant,SIMULTANEOUS
marched,chanting,march,chant,INCLUDES
marched,waving,march,wave,INCLUDES
called,marched,call,march,BEFORE
use,disperse,use,disperse,BEFORE
forced,use,force,use,BEFORE
arrested,forced,arrest,force,AFTER
need,keep,need,keep,BEFORE
said,need,say,need,BEFORE
followed,said,follow,say,BEFORE
believe,followed,believe,follow,AFTER
believe,said,believe,say,IS_INCLUDED
said,said,say,say,BEFORE
decision,approved,decision,approve,AFTER
consulted,approved,consult,approve,BEFORE
consulted,decision,consult,decision,BEFORE
said,consulted,say,consult,AFTER
respond,said,respond,say,AFTER
said,said,say,say,AFTER
respond,said,respond,say,AFTER
meeting,respond,meeting,respond,BEFORE
raised,meeting,raise,meeting,IS_INCLUDED
said,raised,say,raise,AFTER
said,considering,say,consider,AFTER
asked,reverse,ask,reverse,BEFORE
flew,appeal,fly,appeal,BEFORE
accompanied,flew,accompany,fly,IS_INCLUDED
rallied,sang,rally,sang,INCLUDES
demand,sang,demand,sang,BEFORE
demand,return,demand,return,BEFORE
rallied,demand,rally,demand,INCLUDES
ruling,expected,ruling,expect,AFTER
comment,ruling,comment,ruling,BEFORE
filed,said,file,say,BEFORE
get,file,get,file,BEFORE
attempt,file,attempt,file,BEFORE
attempt,get,attempt,get,BEFORE
filed,attempt,file,attempt,INCLUDES
said,filed,say,file,AFTER
gives,repatriated,give,repatriate,BEFORE
said,repatriated,say,repatriate,BEFORE
affording,gives,afford,give,SIMULTANEOUS
said,gives,say,give,AFTER
affording,said,afford,say,BEFORE
requires,sought,require,seek,BEFORE
attend,sought,attend,seek,AFTER
hearing,sought,hearing,seek,AFTER
attend,hearing,attend,hearing,BEFORE
requires,attend,require,attend,BEFORE
said,attend,say,attend,BEFORE
said,requires,say,require,BEFORE
spoke,said,speak,say,INCLUDES
said,spoke,say,speak,BEFORE
named,strengthened,name,strengthen,AFTER
taken,address,take,address,BEFORE
ensure,taken,ensure,take,BEFORE
said,ensure,say,ensure,BEFORE
issued,ensure,issue,ensure,BEFORE
said,issued,say,issue,AFTER
decision,said,decision,say,BEFORE
touched,protests,touch,protest,BEFORE
decision,touched,decision,touch,BEFORE
ruled,returned,rule,return,BEFORE
found,placed,find,place,BEFORE
trying,reach,try,reach,BEFORE
drowned,trying,drown,try,AFTER
found,drowned,find,drown,AFTER
found,clinging,find,cling,ENDS
speak,delayed,speak,delay,BEFORE
said,speak,say,speak,BEFORE
said,speak,say,speak,BEFORE
said,said,say,say,AFTER
conference,said,conference,say,INCLUDES
said,conference,say,conference,IS_INCLUDED
subpoenaed,said,subpoena,say,BEFORE
gave,heading,give,head,BEFORE
appeared,gave,appear,give,BEFORE
cheered,appeared,cheer,appear,AFTER
held,appeared,hold,appear,IS_INCLUDED
holding,appeared,hold,appear,IS_INCLUDED
holding,held,hold,hold,SIMULTANEOUS
cheered,holding,cheer,hold,DURING
subpoenaed,cheered,subpoena,cheer,BEFORE
testify,consider,testify,consider,AFTER
testify,testify,testify,testify,IDENTITY
said,testify,say,testify,BEFORE
said,subpoenaed,say,subpoena,AFTER
subpoenaed,subpoenaed,subpoena,subpoena,IDENTITY
sought,become,seek,become,BEFORE
subpoenaed,testify,subpoena,testify,BEFORE
prevent,return,prevent,return,BEFORE
prevent,subpoenaed,prevent,subpoena,AFTER
say,give,say,give,BEFORE
oppose,say,oppose,say,BEFORE
oppose,return,oppose,return,BEFORE
saying,oppose,say,oppose,AFTER
fighting,oppose,fight,oppose,INCLUDES
saying,give,say,give,BEFORE
fighting,saying,fight,say,INCLUDES
fighting,keep,fight,keep,BEFORE
said,make,say,make,BEFORE
rejecting,said,reject,say,INCLUDES
hear,arguments,hear,argument,INCLUDES
allowed,rejecting,allow,reject,AFTER
allowed,extension,allow,extension,BEFORE
dispute,battle,dispute,battle,IDENTITY
clash,dispute,clash,dispute,IDENTITY
rescue,clash,rescue,clash,BEGINS
rescue,battle,rescue,battle,AFTER
rescue,referred,rescue,refer,BEFORE
found,rescue,find,rescue,IDENTITY
told,said,tell,say,IDENTITY
go,said,go,say,AFTER
get,get,get,get,IDENTITY
go,get,go,get,BEFORE
go,go,go,go,IDENTITY
return,become,return,become,AFTER
pick,return,pick,return,BEFORE
become,embroiled,become,embroil,BEFORE
assured,pick,assure,pick,BEFORE
told,assured,tell,assure,BEFORE
go,assured,go,assure,AFTER
go,retrieve,go,retrieve,BEFORE
told,go,tell,go,BEFORE
said,told,say,tell,BEFORE
prevent,return,prevent,return,BEFORE
involved,prevent,involve,prevent,BEFORE
become,involved,become,involve,BEFORE
goes,become,go,become,BEFORE
going,goes,go,go,IDENTITY
gotten,said,get,say,BEFORE
gotten,appear,get,appear,BEFORE
said,said,say,say,BEFORE
going,counseled,go,counsel,AFTER
said,counseled,say,counsel,AFTER
going,retrieve,go,retrieve,BEFORE
prohibited,going,prohibit,go,BEFORE
said,prohibited,say,prohibit,AFTER
dismissed,said,dismiss,say,BEFORE
travel,pick,travel,pick,BEFORE
dismissed,travel,dismiss,travel,BEFORE
said,dismissed,say,dismiss,BEFORE
enforcement,action,enforcement,action,AFTER
enforcement,announced,enforcement,announce,BEFORE
announced,said,announce,say,BEFORE
told,said,tell,say,IS_INCLUDED
failure,failure,failure,failure,BEFORE
failure,enforce,failure,enforce,BEFORE
failure,set,failure,set,BEFORE
lifted,failure,lift,failure,BEFORE
told,failure,tell,failure,AFTER
lifted,told,lift,tell,BEFORE
fight,keep,fight,keep,BEFORE
give,fight,give,fight,BEFORE
lifted,give,lift,give,BEFORE
set,repatriation,set,repatriation,BEFORE
ruled,set,rule,set,BEFORE
returned,repatriation,return,repatriation,INCLUDES
ruled,returned,rule,return,BEFORE
ruled,repatriation,rule,repatriation,BEFORE
want,send,want,send,BEFORE
dispute,want,dispute,want,INCLUDES
attempt,reach,attempt,reach,BEFORE
failed,attempt,failed,attempt,AFTER
died,failed,die,failed,AFTER
found,died,find,die,AFTER
found,clinging,find,clinging,ENDS
dispute,found,dispute,find,BEGUN_BY
revolution,brought,revolution,bring,BEFORE
triumph,revolution,triumph,revolution,ENDS
demonstrations,rallied,demonstration,rally,INCLUDES
protest,marked,protest,mark,BEFORE
march,protest,march,protest,IDENTITY
March,march,march,march,IDENTITY
participated,march,participate,march,IS_INCLUDED
pushing,participated,push,participate,IS_INCLUDED
estimated,participated,estimate,participate,AFTER
March,estimated,march,estimate,BEFORE
March,pushing,march,push,INCLUDES
demonstration,March,demonstration,march,IDENTITY
chanting,Bring,chant,bring,BEFORE
marched,chanting,march,chant,INCLUDES
waving,chanting,wave,chant,SIMULTANEOUS
marched,waving,march,wave,INCLUDES
carrying,marched,carry,march,IS_INCLUDED
demonstration,marched,demonstration,march,INCLUDES
demanding,carrying,demand,carry,BEFORE
demonstration,carrying,demonstration,carry,INCLUDES
demanding,return,demand,return,BEFORE
demonstration,demanding,demonstration,demand,INCLUDES
expressed,demonstration,express,demonstration,BEFORE
enforce,repatriation,enforce,repatriation,BEFORE
failure,enforce,failure,enforce,BEFORE
