tempMarkerText,tempmarkerpos_BETWEEN,tempmarkerpos_BEFORE,tempmarkerpos_AFTER,tempmarkerpos_BEGIN,tempmarkerpos_BEGIN-BETWEEN,tempmarkerpos_BEGIN-BEFORE,label
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
before,0,0,1,0,0,0,IS_INCLUDED
after,0,0,0,1,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
to,1,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
after,0,0,0,1,0,0,IS_INCLUDED
in,1,0,0,0,0,0,IS_INCLUDED
in,0,0,1,0,0,0,IS_INCLUDED
to,0,0,1,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
to,1,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
in,0,0,1,0,0,0,IS_INCLUDED
in,0,0,1,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
in,1,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,IS_INCLUDED
to,1,0,0,0,0,0,IS_INCLUDED
in,1,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
to,1,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,DURING_INV
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,AFTER
as,0,1,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
for,1,0,0,0,0,0,DURING_INV
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
before,0,0,1,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
on,0,0,1,0,0,0,INCLUDES
on,0,0,1,0,0,0,BEGUN_BY
on,0,0,1,0,0,0,IS_INCLUDED
on,0,0,1,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
in,1,0,0,0,0,0,IS_INCLUDED
in,1,0,0,0,0,0,IS_INCLUDED
in,1,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
on,1,0,0,0,0,0,IS_INCLUDED
when,0,1,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
for,1,0,0,0,0,0,IS_INCLUDED
for,1,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
to,1,0,0,0,0,0,INCLUDES
to,1,0,0,0,0,0,INCLUDES
to,1,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
by,1,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
in,1,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
at,1,0,0,0,0,0,BEFORE
at,1,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,AFTER
in,1,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
during,1,0,0,0,0,0,IS_INCLUDED
during,1,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
by,1,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,BEFORE
also,0,0,0,1,0,0,IS_INCLUDED
also,0,0,0,1,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
since,1,0,0,0,0,0,BEGUN_BY
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
in,0,0,1,0,0,0,BEFORE
in,0,0,1,0,0,0,AFTER
in,0,0,1,0,0,0,AFTER
if,0,1,0,0,0,0,AFTER
in,0,0,1,0,0,0,AFTER
in,0,0,1,0,0,0,AFTER
in,0,0,1,0,0,0,AFTER
in,0,0,1,0,0,0,IS_INCLUDED
in,0,0,1,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
at,1,0,0,0,0,0,INCLUDES
at,1,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,AFTER
in,1,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
in,1,0,0,0,0,0,BEGUN_BY
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
in,1,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,BEGUN_BY
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,INCLUDES
until,0,0,0,1,0,0,AFTER
as,0,1,0,0,0,0,INCLUDES
until,0,0,0,1,0,0,ENDED_BY
after,1,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
also,0,0,0,1,0,0,IS_INCLUDED
also,0,0,0,1,0,0,IS_INCLUDED
also,0,0,0,1,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
since,1,0,0,0,0,0,BEGUN_BY
between,1,0,0,0,0,0,ENDED_BY
on,1,0,0,0,0,0,BEGUN_BY
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
at,1,0,0,0,0,0,BEFORE
at,1,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,AFTER
in,1,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEGUN_BY
in,1,0,0,0,0,0,BEGUN_BY
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEGUN_BY
before,0,0,1,0,0,0,AFTER
before,0,0,1,0,0,0,INCLUDES
before,0,0,1,0,0,0,BEFORE
before,0,1,0,0,0,0,AFTER
before,0,0,1,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
when,0,1,0,0,0,0,IS_INCLUDED
when,0,0,1,0,0,0,INCLUDES
when,0,0,1,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
when,0,0,1,0,0,0,IS_INCLUDED
when,0,1,0,0,0,0,IS_INCLUDED
when,0,0,1,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEGUN_BY
O,0,0,0,0,0,0,BEGUN_BY
O,0,0,0,0,0,0,BEGUN_BY
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
after,1,0,0,0,0,0,AFTER
after,1,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
over,1,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,AFTER
in,0,0,1,0,0,0,INCLUDES
in,0,0,1,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,AFTER
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
on,1,0,0,0,0,0,INCLUDES
on,1,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
as,0,0,1,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
in,1,0,0,0,0,0,IS_INCLUDED
in,1,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,BEGUN_BY
in,1,0,0,0,0,0,BEGUN_BY
in,1,0,0,0,0,0,BEGUN_BY
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,INCLUDES
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
after,0,1,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
at,1,0,0,0,0,0,IS_INCLUDED
at,1,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
in,1,0,0,0,0,0,IS_INCLUDED
after,0,0,1,0,0,0,ENDS
after,0,1,0,0,0,0,BEGINS
O,0,0,0,0,0,0,BEFORE
O,0,0,0,0,0,0,IS_INCLUDED
O,0,0,0,0,0,0,IS_INCLUDED
