tokenchunk1,tokenchunk2,label
m not going to draw,now,IS_INCLUDED
said,Tuesday,IS_INCLUDED
the FBI investigation,Tuesday,DURING
a joint news conference,five hours,IS_INCLUDED
are counting,Tuesday,IS_INCLUDED
a five-hour visit,five-hour,IS_INCLUDED
was scheduled to lay,Tuesday,BEFORE
spent,five hours,IS_INCLUDED
a 16-hour flight,16-hour,IS_INCLUDED
questioning,three days,IS_INCLUDED
said,Monday,IS_INCLUDED
arrived,Tuesday,IS_INCLUDED
bombing,Aug. 7,IS_INCLUDED
a whirlwind visit,Tuesday,IS_INCLUDED
said,O,BEFORE
said,Friday,IS_INCLUDED
has taken,Thursday,IS_INCLUDED
said,Friday,IS_INCLUDED
launched,Thursday,IS_INCLUDED
Retaliating,Thursday,IS_INCLUDED
terrorist bombings,this month,IS_INCLUDED
said,Friday,IS_INCLUDED
terrorist actions,Aug. 7,IS_INCLUDED
to defend,Friday,BEFORE
said,O,BEFORE
said,O,BEFORE
was hospitalized,O,BEFORE
continued,O,BEFORE
said,Wednesday,IS_INCLUDED
said,Wednesday,IS_INCLUDED
the slated visit,September,IS_INCLUDED
met,Wednesday,IS_INCLUDED
ended,Aug. 7,IS_INCLUDED
were interrupted,Aug. 7,IS_INCLUDED
wrapped,Wednesday,IS_INCLUDED
have said,O,BEFORE
have been handed,O,BEFORE
could not be reached,O,BEFORE
searched,Sept. 2,IS_INCLUDED
raided,Sept. 2,IS_INCLUDED
share,Friday,INCLUDES
said,Friday,IS_INCLUDED
have said,Friday,IS_INCLUDED
refused to provide,Sunday,IS_INCLUDED
said,Sunday,IS_INCLUDED
allege,Friday,IS_INCLUDED
trial,Friday,AFTER
have been handed,Friday,BEFORE
the Kenya bombing,last month,IS_INCLUDED
Nearly simultaneous bombings,last month,IS_INCLUDED
could not be reached,Friday,IS_INCLUDED
said,Friday,IS_INCLUDED
were not disclosed,Friday,IS_INCLUDED
the bombing,last month,IS_INCLUDED
reported,Friday,IS_INCLUDED
has contributed,O,BEFORE
has requested,O,BEFORE
said,O,BEFORE
led,O,BEFORE
planned to pay,Friday,IS_INCLUDED
has contributed,Wednesday,BEFORE
has requested,Wednesday,BEFORE
said,Wednesday,IS_INCLUDED
said,Wednesday,IS_INCLUDED
will consider helping set,Wednesday,AFTER
meeting,Wednesday,IS_INCLUDED
planned to leave,Thursday,IS_INCLUDED
worked,1995,IS_INCLUDED
a bombing,1995,IS_INCLUDED
The bombings,Aug. 7,IS_INCLUDED
future medical disasters,future,IS_INCLUDED
prepare to meet,future,IS_INCLUDED
the bombing,Wednesday,BEFORE
a news conference,Wednesday,IS_INCLUDED
led,Wednesday,IS_INCLUDED
will serve,O,AFTER
saying,O,BEFORE
has been,O,BEFORE
prepared to join,O,BEFORE
prepared to join,April,IS_INCLUDED
ending,Saturday,BEFORE
planning,O,AFTER
NATO strategy planning,O,AFTER
joining,April,INCLUDES
said,two-day,DURING_INV
said,Saturday,IS_INCLUDED
a two-day visit,two-day,IS_INCLUDED
the NATO summit,April,IS_INCLUDED
can participate,O,IS_INCLUDED
marking,O,AFTER
marking,April,IS_INCLUDED
are expected to join,April,IS_INCLUDED
are expected to join,O,IS_INCLUDED
became,early this week,IS_INCLUDED
said,Saturday,IS_INCLUDED
said,Saturday,IS_INCLUDED
have approved,O,BEFORE
participate,O,IS_INCLUDED
said,O,IS_INCLUDED
had been,two weeks,DURING_INV
said,O,IS_INCLUDED
was discovered,last month,IS_INCLUDED
was spotted,weeks,IS_INCLUDED
said,O,IS_INCLUDED
shows,O,INCLUDES
have said,O,IS_INCLUDED
leading,O,INCLUDES
and have,O,INCLUDES
the shooting,O,BEFORE
was driven,O,BEFORE
believe,O,INCLUDES
have said,O,IS_INCLUDED
the hunt,Last week,INCLUDES
to join,Last week,BEGUN_BY
asked,Last week,IS_INCLUDED
an official visit,Last week,IS_INCLUDED
fired,Friday,BEFORE
stood,Friday,BEFORE
believe,Friday,INCLUDES
was found buried,Friday,BEFORE
was found buried,Friday,BEFORE
was,Friday,BEFORE
reported,Friday,IS_INCLUDED
stood,O,BEFORE
killed,O,BEFORE
is thought to have fired,O,BEFORE
is thought to have fired,O,INCLUDES
found,O,BEFORE
was,O,BEFORE
said,O,IS_INCLUDED
added,O,IS_INCLUDED
to establish,O,AFTER
taken,O,AFTER
would need to have,O,INCLUDES
said,O,IS_INCLUDED
to declare,O,AFTER
could enable,O,AFTER
found,O,BEFORE
is conducting,O,INCLUDES
requested,O,IS_INCLUDED
this march,last three years,IS_INCLUDED
or arrested,last three years,IS_INCLUDED
a participant,last three years,IS_INCLUDED
the annual March,O,IS_INCLUDED
scanned,O,IS_INCLUDED
assigned,O,INCLUDES
extended,O,BEFORE
The search,O,INCLUDES
performed,O,BEFORE
the Oct. 23 sniper shooting,Oct. 23,IS_INCLUDED
obtained,O,BEFORE
has eluded,O,INCLUDES
did not exclude,O,IS_INCLUDED
said,O,IS_INCLUDED
lived,last year,INCLUDES
found,O,BEFORE
came,O,INCLUDES
established,O,IS_INCLUDED
said,Friday,IS_INCLUDED
performed,O,BEFORE
killed,O,BEFORE
a sniper shot,O,BEFORE
found,O,BEFORE
link,O,IS_INCLUDED
said,O,IS_INCLUDED
to host,O,AFTER
searching,O,INCLUDES
a QUOTQUOT temporary setback,O,INCLUDES
the move,O,BEFORE
called,O,IS_INCLUDED
violated,Friday,INCLUDES
was informed,Friday,IS_INCLUDED
said,O,IS_INCLUDED
was knocked,O,BEFORE
said,O,IS_INCLUDED
has maintained,O,BEFORE
was crossed,that same day,IS_INCLUDED
was gunned,last October,IS_INCLUDED
were killed COMMA,O,BEFORE
appeared,O,BEFORE
featured,O,INCLUDES
included,O,INCLUDES
said,O,IS_INCLUDED
violating QUOTQUOT,Thursday,INCLUDES
closed,Thursday,IS_INCLUDED
provided,Thursday,BEFORE
ruled,this week,IS_INCLUDED
the suit,this week,INCLUDES
was not,this week,INCLUDES
verdict,this week,IS_INCLUDED
led,this week,INCLUDES
a federal court trial,this week,INCLUDES
was,this week,INCLUDES
would seek,Friday,AFTER
said,Friday,IS_INCLUDED
just a QUOTQUOT temporary setback,O,INCLUDES
to shut,O,BEFORE
a decision,O,BEFORE
says,O,INCLUDES
found to be,O,BEFORE
said,O,IS_INCLUDED
the creation,50 years ago,IS_INCLUDED
the announcement,50 years ago,IS_INCLUDED
was chosen to honor,March 12,BEFORE
The ceremony,March 12,IS_INCLUDED
the accession,March 12,BEFORE
to mark,March 12,IS_INCLUDED
a ceremony,March 12,IS_INCLUDED
a ceremony,O,AFTER
has invited,O,IS_INCLUDED
came,O,INCLUDES
discovered,O,BEFORE
showed,O,INCLUDES
said,O,IS_INCLUDED
was found abandoned,December,BEFORE
was found abandoned,December,IS_INCLUDED
the shooting,O,BEFORE
vanished,O,BEFORE
the slaying,days,AFTER
was seen,days,IS_INCLUDED
said,O,IS_INCLUDED
the shooting,O,BEFORE
is being sought,O,INCLUDES
was,O,BEFORE
did not say,O,IS_INCLUDED
a search,Thursday,IS_INCLUDED
was unearthed,Thursday,IS_INCLUDED
Buried,Thursday,BEFORE
said,O,IS_INCLUDED
can be traced,O,AFTER
have,O,INCLUDES
said,O,IS_INCLUDED
to match,O,AFTER
able,O,AFTER
QUOTs not,O,INCLUDES
was used to kill,O,BEFORE
was used to kill,O,BEFORE
to determine,O,AFTER
was sent,O,BEFORE
buried,Friday,BEFORE
found,Friday,BEFORE
said,Friday,IS_INCLUDED
was killed,last fall,IS_INCLUDED
trying to track,O,AFTER
trying to track,O,INCLUDES
may yield,O,AFTER
found,O,BEFORE
killed,1996,IS_INCLUDED
the 1996 Olympic bombing,1996,IS_INCLUDED
is charged,O,INCLUDES
maimed,January 1998,IS_INCLUDED
killed,January 1998,IS_INCLUDED
the January 1998 bombing,January 1998,IS_INCLUDED
has been,January 1998,BEGUN_BY
a fatal attack,O,BEFORE
being sought,O,INCLUDES
is,O,INCLUDES
did,Thursday,BEFORE
face,Thursday,AFTER
make,Thursday,AFTER
to contact,Thursday,AFTER
clear,Thursday,AFTER
come,Thursday,AFTER
would like to see,Thursday,AFTER
would like to see,Thursday,IS_INCLUDED
said,Thursday,IS_INCLUDED
was,O,BEFORE
married,O,BEFORE
said,O,IS_INCLUDED
and was found abandoned,December,INCLUDES
and was found abandoned,December,IS_INCLUDED
the shooting,weeks,AFTER
was spotted,weeks,IS_INCLUDED
protesting,1990,INCLUDES
had been arrested,1990,BEGUN_BY
Nicknamed,O,BEFORE
have said,O,IS_INCLUDED
fired,O,BEFORE
found,O,BEFORE
has been linked,O,BEFORE
fleeing,O,BEFORE
reburying,O,BEFORE
to fire,O,BEFORE
digging,O,BEFORE
the shooting,O,BEFORE
may have been buried,O,BEFORE
believe,O,INCLUDES
have said,O,IS_INCLUDED
was shot,O,BEFORE
a major breakthrough,O,BEFORE
represented,O,INCLUDES
buried,O,BEFORE
last month QUOTs discovery,O,BEFORE
said,O,IS_INCLUDED
would not divulge,O,IS_INCLUDED
injured,November,IS_INCLUDED
sniper shootings,November,IS_INCLUDED
is,O,INCLUDES
confirmed,O,IS_INCLUDED
said,O,IS_INCLUDED
the ongoing international manhunt,O,INCLUDES
will intensify,O,BEGUN_BY
carries,O,INCLUDES
carry,O,INCLUDES
deadly force,O,BEFORE
using,O,BEFORE
violating,O,BEFORE
faces,O,INCLUDES
questioning,Thursday,AFTER
wanted,Thursday,INCLUDES
had described,Thursday,ENDED_BY
have been searching,Oct. 23,AFTER
the Oct. 23 slaying,Oct. 23,IS_INCLUDED
said,O,IS_INCLUDED
the death,O,BEFORE
responsible,O,INCLUDES
believe,O,INCLUDES
have,O,INCLUDES
are,O,INCLUDES
were issued,O,IS_INCLUDED
was charged,Thursday,IS_INCLUDED
was cut,O,BEFORE
the slaying,O,BEFORE
an international manhunt,O,INCLUDES
is,O,INCLUDES
killed,1996,IS_INCLUDED
the 1996 Olympic bombing,1996,IS_INCLUDED
three Atlanta attacks,1996,INCLUDES
is charged,O,INCLUDES
a fatal attack,O,BEFORE
being sought,O,INCLUDES
is,O,INCLUDES
maimed,January 1998,IS_INCLUDED
killed,January 1998,IS_INCLUDED
the January 1998 bombing,January 1998,IS_INCLUDED
has been,January 1998,BEGUN_BY
three non-fatal sniper attacks,1997,ENDED_BY
three non-fatal sniper attacks,1994,BEGUN_BY
has intensified,O,IS_INCLUDED
The filing,O,IS_INCLUDED
and was found abandoned,December,BEFORE
and was found abandoned,December,IS_INCLUDED
the shooting,weeks,AFTER
was spotted,weeks,IS_INCLUDED
protesting,1990,BEGUN_BY
had been arrested,1990,BEGUN_BY
Nicknamed,O,BEFORE
have said,O,BEFORE
fired,O,BEFORE
found,O,BEFORE
has been linked,O,BEFORE
was shot,last month,BEFORE
a major breakthrough,last month,IS_INCLUDED
represented,last month,INCLUDES
buried,last month,BEFORE
last month QUOTs discovery,last month,IS_INCLUDED
said,O,IS_INCLUDED
would not divulge,O,IS_INCLUDED
had not called,Thursday,BEGUN_BY
questioning,Nov. 3,AFTER
the hope,Nov. 3,INCLUDES
the Slepian shooting,Nov. 3,BEFORE
issued,Nov. 3,AFTER
seen,Nov. 3,IS_INCLUDED
remain,O,INCLUDES
carries,O,INCLUDES
carry,O,INCLUDES
deadly force,Thursday,BEFORE
using,Thursday,BEFORE
violating,Thursday,BEFORE
was charged,Thursday,IS_INCLUDED
was called,November,IS_INCLUDED
an international manhunt,November,INCLUDES
became,November,IS_INCLUDED
said,Today,IS_INCLUDED
have,Today,INCLUDES
to tell,Today,IS_INCLUDED
the slaying,O,BEFORE
have named,O,IS_INCLUDED
is,O,INCLUDES
a single shot,last fall,IS_INCLUDED
was gunned,last fall,IS_INCLUDED
was heating,last fall,IS_INCLUDED
has used,O,BEFORE
but has,O,INCLUDES
abortion protests,O,BEFORE
has been arrested,O,BEFORE
said,O,IS_INCLUDED
had traveled,O,BEFORE
the Slepian QUOTs shooting,O,BEFORE
fired,O,BEFORE
was killed,O,BEFORE
weighs,O,INCLUDES
is,O,INCLUDES
walks,O,INCLUDES
wears,O,INCLUDES
known,O,INCLUDES
is,O,INCLUDES
says,O,IS_INCLUDED
is awaiting,O,INCLUDES
not apprehended,O,INCLUDES
have been charged,O,BEFORE
are known to be,O,INCLUDES
are known to be,O,INCLUDES
said,O,IS_INCLUDED
citizen assistance,1950,BEGUN_BY
located COMMA,1950,BEGUN_BY
have been taken,1950,BEGUN_BY
began,1950,IS_INCLUDED
to be placed,O,IS_INCLUDED
are,O,INCLUDES
murder and violations,O,BEFORE
to commit,O,BEFORE
are charged,O,INCLUDES
to hand,April,IS_INCLUDED
were removed,April,AFTER
agreed,April,IS_INCLUDED
killed,Dec. 21 COMMA 1988,IS_INCLUDED
bombing,Dec. 21 COMMA 1988,IS_INCLUDED
charged,O,INCLUDES
replace,O,IS_INCLUDED
has paid,O,BEFORE
said,O,IS_INCLUDED
said,O,IS_INCLUDED
continues to receive,O,INCLUDES
QUOTQUOT to fight,O,INCLUDES
the unwavering commitment,O,INCLUDES
underscores,O,IS_INCLUDED
placing,O,IS_INCLUDED
said,O,IS_INCLUDED
said,O,IS_INCLUDED
have been related,past 20 years,IS_INCLUDED
has held,past 20 years,IS_INCLUDED
be,O,INCLUDES
Kopp purports,O,INCLUDES
said,O,IS_INCLUDED
crossed,O,BEFORE
unknown,O,INCLUDES
may have approached,O,BEFORE
the case,O,INCLUDES
has been,O,INCLUDES
may be hiding,O,INCLUDES
said,O,IS_INCLUDED
unknown,O,INCLUDES
have,O,INCLUDES
using,O,BEFORE
believes,O,INCLUDES
have,O,INCLUDES
said,O,IS_INCLUDED
offered,O,BEFORE
announced,O,IS_INCLUDED
comes,O,IS_INCLUDED
a listed fugitive QUOTs capture,O,AFTER
leading,O,AFTER
provided,last fall,INCLUDES
gunning,last fall,IS_INCLUDED
is charged,O,INCLUDES
the arrest,O,AFTER
leading,O,AFTER
is being offered,O,INCLUDES
offered,O,INCLUDES
is,O,INCLUDES
killed,Aug. 7 COMMA 1998,IS_INCLUDED
The Aug. 7 COMMA 1998 COMMA bombings,Aug. 7 COMMA 1998,IS_INCLUDED
the twin bombings,O,BEFORE
indicted,O,BEFORE
the arrest and conviction,O,AFTER
the arrest and conviction,O,AFTER
leads,O,AFTER
is offering,O,INCLUDES
said,O,IS_INCLUDED
accused,Monday,INCLUDES
put alleged,Monday,IS_INCLUDED
went,O,BEFORE
has been offered,O,BEFORE
have been indicted,O,BEFORE
reported,O,BEFORE
said,O,BEFORE
heads,O,INCLUDES
was scheduled to appear,O,BEFORE
was arrested,O,BEFORE
was brought,O,BEFORE
has been offered,today,BEFORE
is accused,today,INCLUDES
have been indicted,today,BEFORE
reported,today,IS_INCLUDED
arrested,Thursday morning,IS_INCLUDED
said,today,IS_INCLUDED
is investigating and prosecuting,today,IS_INCLUDED
is investigating and prosecuting,today,IS_INCLUDED
heads,today,INCLUDES
was scheduled to appear,midday,IS_INCLUDED
was scheduled to appear,midday,BEFORE
U.S. Embassy blasts,last year,IS_INCLUDED
was arrested,today,BEFORE
risked,O,BEFORE
said,O,IS_INCLUDED
served,O,BEFORE
paid,O,BEFORE
have been killed,O,BEFORE
spoke,O,IS_INCLUDED
has,O,INCLUDES
the Alabama clinic bombing,O,BEFORE
operations,O,BEFORE
has undergone,O,BEFORE
listened,O,IS_INCLUDED
abortion-related violence,1993,BEGUN_BY
injured,1993,BEGUN_BY
killed,1993,BEGUN_BY
the lighting,Sunday,IS_INCLUDED
included,Sunday,IS_INCLUDED
the lighting,Sunday,IS_INCLUDED
the lighting,Sunday,IS_INCLUDED
commemorates,Sunday,INCLUDES
a Jewish ceremony,Sunday,IS_INCLUDED
Sunday QUOTs yahrtzeit service,Sunday,IS_INCLUDED
very scary,O,INCLUDES
said,O,IS_INCLUDED
out there,O,INCLUDES
knowing,O,INCLUDES
very frustrating,O,INCLUDES
is,O,INCLUDES
do nQUOTt know,O,INCLUDES
a worldwide search,O,INCLUDES
admit,O,IS_INCLUDED
remains,O,INCLUDES
the slaying,May 6,BEFORE
was charged,May 6,IS_INCLUDED
assassination,Earlier that day,INCLUDES
might be targeted,Earlier that day,INCLUDES
were warned,Earlier that day,INCLUDES
explaining,Earlier that day,IS_INCLUDED
a fax,Earlier that day,IS_INCLUDED
sent,Earlier that day,IS_INCLUDED
a sniper hiding,Oct. 23 COMMA 1999,IS_INCLUDED
was killed,Oct. 23 COMMA 1999,IS_INCLUDED
were leaked,Saturday,IS_INCLUDED
was canceled,Saturday,IS_INCLUDED
planned,Saturday,IS_INCLUDED
A memorial service,Saturday,IS_INCLUDED
worried,tonight,IS_INCLUDED
the ceremony,O,IS_INCLUDED
said,O,IS_INCLUDED
is,O,IS_INCLUDED
were scattered,O,IS_INCLUDED
watch outside,O,IS_INCLUDED
the interfaith ceremony,O,IS_INCLUDED
attended,O,IS_INCLUDED
among,O,IS_INCLUDED
the 1998 abortion clinic bombing,1998,IS_INCLUDED
injured,1998,IS_INCLUDED
attended,one year,ENDS
was killed,one year,BEGINS
performed,Sunday,BEFORE
a Sunday night memorial service,Sunday,IS_INCLUDED
attended,Sunday,IS_INCLUDED
contained,O,BEFORE
are expected,O,INCLUDES
warned QUOTQUOT,O,BEFORE
saying,O,BEFORE
disputed,O,BEFORE
have complained,O,BEFORE
was designed,O,BEFORE
is scheduled to spend,O,BEFORE
leaving,O,BEFORE
said,last week,IS_INCLUDED
said,Monday,IS_INCLUDED
arrived,the weekend,IS_INCLUDED
the Nairobi bombing,the weekend,BEFORE
came,Sunday,IS_INCLUDED
ordered,Sunday,IS_INCLUDED
warned QUOTQUOT,Sunday,IS_INCLUDED
fresh threats,Sunday,BEFORE
the Aug. 7 bombings,Aug. 7,IS_INCLUDED
issued,Sunday,IS_INCLUDED
trip,one-day,IS_INCLUDED
the tragedy,Friday,BEFORE
lifted,Friday,IS_INCLUDED
set,Friday,IS_INCLUDED
have complained,Monday,BEFORE
Albright QUOTs visit,Tuesday,IS_INCLUDED
her first stop,five hours,IS_INCLUDED
is scheduled to spend,five hours,IS_INCLUDED
her first stop,Tuesday morning,IS_INCLUDED
a 16-hour flight,16-hour,IS_INCLUDED
leaving,Monday,IS_INCLUDED
said,Monday,IS_INCLUDED
seeking to demonstrate,Tuesday,IS_INCLUDED
headed,Tuesday,IS_INCLUDED
has not appeared,O,BEFORE
said,O,BEFORE
have fought to keep,O,BEFORE
have fought to keep,O,INCLUDES
died trying to get,O,BEFORE
appealed to world,O,BEFORE
exhorted,O,BEFORE
warned,O,BEFORE
must be returned,Jan. 14,IS_INCLUDED
announced,Wednesday,IS_INCLUDED
have fought to keep,Wednesday,BEFORE
wants,now,IS_INCLUDED
died trying to get,late November,IS_INCLUDED
an international custody battle,late November,AFTER
Found,late November,IS_INCLUDED
appealed to world,now,IS_INCLUDED
can not stop mobilizing,one minute,INCLUDES
must not stop,one minute,INCLUDES
exhorted,now,IS_INCLUDED
QUOTQUOT proceed,now,IS_INCLUDED
a pro-Elian rally,Wednesday night,IS_INCLUDED
read,Wednesday night,IS_INCLUDED
said,Wednesday night,IS_INCLUDED
warned,Wednesday,IS_INCLUDED
return,Wednesday,AFTER
the U.S. government decision,late November,AFTER
the U.S. government decision,Wednesday,BEFORE
could be located,O,BEFORE
has not appeared,O,BEFORE
saying,O,BEFORE
a boating accident,O,BEFORE
has become,O,BEFORE
said,O,BEFORE
exhorted,O,BEFORE
blocked,O,BEFORE
called,O,BEFORE
showed,O,BEFORE
said,O,BEFORE
has held,O,ENDED_BY
appeared aimed,O,BEFORE
protests,O,BEFORE
urged,O,BEFORE
state-run television broadcast footage,O,BEFORE
was announced,Wednesday,IS_INCLUDED
wants,now,IS_INCLUDED
died,Nov. 25,BEFORE
Rescued,Nov. 25,IS_INCLUDED
several thousand rallying Cuban scientists,Wednesday night,IS_INCLUDED
must not stop,one minute,INCLUDES
said,Wednesday night,IS_INCLUDED
QUOTQUOT proceed,now,IS_INCLUDED
predicted,Wednesday,IS_INCLUDED
to repatriate,Jan. 14,BEFORE
Wednesday QUOTs ruling,Wednesday,IS_INCLUDED
Elian QUOTs return,Wednesday,AFTER
invasions COMMA sabotage and attempts,40 years,IS_INCLUDED
invasions COMMA sabotage and attempts,40 years,IS_INCLUDED
invasions COMMA sabotage and attempts,40 years,IS_INCLUDED
has held,daily,IS_INCLUDED
such rallies,daily,IS_INCLUDED
attended,Thursday,IS_INCLUDED
state-run television broadcast footage,Jan. 14,BEFORE
state-run television broadcast footage,Thursday,BEFORE
said,O,BEFORE
said,O,BEFORE
began weeping,O,BEFORE
said,O,BEFORE
called,O,BEFORE
has said,O,BEFORE
said,O,BEFORE
said,O,BEFORE
is expected,O,INCLUDES
said,O,BEFORE
said,O,BEFORE
said,O,BEFORE
spoke,O,BEFORE
said,O,BEFORE
protests,O,BEFORE
was placed,O,BEFORE
a news conference,O,BEFORE
appeared,O,BEFORE
consider,O,INCLUDES
said,O,BEFORE
sought to become,O,BEFORE
tells,Friday,IS_INCLUDED
played,Friday,IS_INCLUDED
were planning to drive,Monday,IS_INCLUDED
a large demonstration,Saturday,IS_INCLUDED
marched,Friday night,IS_INCLUDED
called,Friday night,IS_INCLUDED
were forced to use,Thursday,IS_INCLUDED
were arrested,Thursday,IS_INCLUDED
said,Friday,IS_INCLUDED
said,Friday,IS_INCLUDED
asked,Friday,IS_INCLUDED
flew,Friday,IS_INCLUDED
accompanied,Friday,IS_INCLUDED
rallied,Friday night,IS_INCLUDED
is expected,early next week,IS_INCLUDED
would comment,early next week,BEFORE
filed,Friday,IS_INCLUDED
said,now,IS_INCLUDED
said,Friday,IS_INCLUDED
is affording,Friday,IS_INCLUDED
spoke,Friday,IS_INCLUDED
said,Friday,IS_INCLUDED
the 1959 trade embargo,1959,IS_INCLUDED
strengthened,1996,IS_INCLUDED
named,1996,IS_INCLUDED
The decision,Wednesday,IS_INCLUDED
must be returned,Jan. 14,BEFORE
ruled,Wednesday,IS_INCLUDED
was found,Thanksgiving Day,IS_INCLUDED
consider,Friday,AFTER
testify,Feb. 10,IS_INCLUDED
sought to become,Friday,IS_INCLUDED
subpoenaed,Friday,IS_INCLUDED
say,O,BEFORE
oppose,O,INCLUDES
saying,O,BEFORE
is fighting to keep,O,INCLUDES
said,O,BEFORE
allowed,O,BEFORE
the dispute,O,INCLUDES
his sea rescue,O,BEFORE
said,O,BEFORE
told,O,BEFORE
said,O,BEFORE
have counseled,O,BEFORE
said,O,BEFORE
dismissed,O,BEFORE
said,O,BEFORE
told,O,BEFORE
and set,O,BEFORE
marked,O,BEFORE
estimated,O,BEFORE
QUOTQUOT pushing,O,BEFORE
marched,O,BEFORE
a massive demonstration,O,BEFORE
expressed,O,BEFORE
said,O,BEFORE
is fighting to keep,Nov. 25,BEGUN_BY
is fighting to keep,Friday,IS_INCLUDED
to hear,March 6,IS_INCLUDED
allowed,Friday,IS_INCLUDED
ideological battle,decades-long,IS_INCLUDED
would go,one minute,IS_INCLUDED
told,this week,IS_INCLUDED
lifted,this week,IS_INCLUDED
his repatriation,Friday,IS_INCLUDED
was found clinging,Nov. 25,IS_INCLUDED
the triumph,41 years ago,IS_INCLUDED
brought,41 years ago,IS_INCLUDED
the revolution,41 years ago,IS_INCLUDED
the larger demonstrations,early December,IS_INCLUDED
a massive demonstration,Friday,IS_INCLUDED
expressed,Friday,IS_INCLUDED
said,Friday,IS_INCLUDED
could be located,O,BEFORE
has not appeared,O,BEFORE
have said,O,BEFORE
have fought to keep,O,BEFORE
died,O,BEFORE
has become,O,BEFORE
said,O,BEFORE
exhorted,O,BEFORE
blocked,O,BEFORE
has written,O,BEFORE
said,O,BEFORE
has held,O,BEFORE
the U.S. government QUOTs decision,O,BEFORE
protests,O,BEFORE
state-run television broadcast footage,O,BEFORE
was announced,Wednesday,IS_INCLUDED
wants,now,IS_INCLUDED
died,Nov. 25,BEFORE
Rescued,Nov. 25,IS_INCLUDED
several thousand rallying Cuban scientists,Wednesday night,IS_INCLUDED
must not stop,one minute,INCLUDES
said,Wednesday night,IS_INCLUDED
QUOTQUOT proceed,now,IS_INCLUDED
predicted,Wednesday,IS_INCLUDED
to repatriate,Jan. 14,BEFORE
Wednesday QUOTs ruling,Wednesday,IS_INCLUDED
Elian QUOTs return,Wednesday,AFTER
invasions COMMA sabotage and attempts,40 years,IS_INCLUDED
invasions COMMA sabotage and attempts,40 years,IS_INCLUDED
invasions COMMA sabotage and attempts,40 years,IS_INCLUDED
has held,daily,IS_INCLUDED
such rallies,daily,IS_INCLUDED
attended,Thursday,IS_INCLUDED
state-run television broadcast footage,Jan. 14,BEFORE
state-run television broadcast footage,Thursday,BEFORE
Kopp QUOTs arrest,O,AFTER
leading,O,AFTER
is being offered,O,INCLUDES
said,O,IS_INCLUDED
citizen assistance,1950,INCLUDES
located COMMA,1950,BEGUN_BY
have been taken,1950,BEGUN_BY
began,1950,IS_INCLUDED
be placed,O,BEFORE
was,O,BEFORE
has used,O,BEFORE
says,O,IS_INCLUDED
abortion protests,O,BEFORE
has been arrested,O,BEFORE
said,last year,IS_INCLUDED
have been related,past 20 years,IS_INCLUDED
has held,past 20 years,IS_INCLUDED
to be,O,INCLUDES
Kopp purports,O,INCLUDES
fired,O,BEFORE
was killed,O,BEFORE
the shooting,O,BEFORE
is wanted,O,INCLUDES
the October 1998 shooting death,October 1998,IS_INCLUDED
was indicted,last year,IS_INCLUDED
said,O,IS_INCLUDED
is wanted,O,INCLUDES
say,O,AFTER
to spread,O,AFTER
allows,O,IS_INCLUDED
