token1,token2,lemma1,lemma2,label
reported,Friday,report,friday,IS_INCLUDED
stood,O,stand,O,BEFORE
killed,O,kill,O,BEFORE
fired,O,fire,O,BEFORE
thought,O,think,O,INCLUDES
found,O,find,O,BEFORE
was,O,be,O,BEFORE
said,O,say,O,IS_INCLUDED
added,O,add,O,IS_INCLUDED
establish,O,establish,O,AFTER
taken,O,take,O,AFTER
need,O,need,O,INCLUDES
said,O,say,O,IS_INCLUDED
declare,O,declare,O,AFTER
enable,O,enable,O,AFTER
found,O,find,O,BEFORE
conducting,O,conduct,O,INCLUDES
requested,O,request,O,IS_INCLUDED
march,last three years,march,last three year,IS_INCLUDED
arrested,last three years,arrest,last three year,IS_INCLUDED
participant,last three years,participant,last three year,IS_INCLUDED
March,O,march,O,IS_INCLUDED
scanned,O,scan,O,IS_INCLUDED
assigned,O,assign,O,INCLUDES
extended,O,extend,O,BEFORE
search,O,search,O,INCLUDES
performed,O,perform,O,BEFORE
shooting,Oct. 23,shooting,oct. 23,IS_INCLUDED
obtained,O,obtain,O,BEFORE
eluded,O,elude,O,INCLUDES
exclude,O,exclude,O,IS_INCLUDED
said,O,say,O,IS_INCLUDED
lived,last year,live,last year,INCLUDES
found,O,find,O,BEFORE
came,O,come,O,INCLUDES
established,O,establish,O,IS_INCLUDED
said,Friday,say,friday,IS_INCLUDED
performed,O,perform,O,BEFORE
killed,O,kill,O,BEFORE
shot,O,shot,O,BEFORE
found,O,find,O,BEFORE
link,O,link,O,IS_INCLUDED
said,O,say,O,IS_INCLUDED
host,O,host,O,AFTER
searching,O,search,O,INCLUDES
setback,O,setback,O,INCLUDES
move,O,move,O,BEFORE
called,O,call,O,IS_INCLUDED
violated,Friday,violate,friday,INCLUDES
informed,Friday,inform,friday,IS_INCLUDED
said,O,say,O,IS_INCLUDED
knocked,O,knock,O,BEFORE
said,O,say,O,IS_INCLUDED
maintained,O,maintain,O,BEFORE
crossed,that same day,cross,that same day,IS_INCLUDED
gunned,last October,gun,last october,IS_INCLUDED
killed,O,kill,O,BEFORE
appeared,O,appear,O,BEFORE
featured,O,feature,O,INCLUDES
included,O,include,O,INCLUDES
said,O,say,O,IS_INCLUDED
violating,Thursday,violate,thursday,INCLUDES
closed,Thursday,close,thursday,IS_INCLUDED
provided,Thursday,provide,thursday,BEFORE
ruled,this week,rule,this week,IS_INCLUDED
suit,this week,suit,this week,INCLUDES
was,this week,be,this week,INCLUDES
verdict,this week,verdict,this week,IS_INCLUDED
led,this week,lead,this week,INCLUDES
trial,this week,trial,this week,INCLUDES
was,this week,be,this week,INCLUDES
seek,Friday,seek,friday,AFTER
said,Friday,say,friday,IS_INCLUDED
setback,O,setback,O,INCLUDES
shut,O,shut,O,BEFORE
decision,O,decision,O,BEFORE
says,O,say,O,INCLUDES
found,O,find,O,BEFORE
said,O,say,O,IS_INCLUDED
creation,50 years ago,creation,50 year ago,IS_INCLUDED
announcement,50 years ago,announcement,50 year ago,IS_INCLUDED
chosen,March 12,choose,march 12,BEFORE
ceremony,March 12,ceremony,march 12,IS_INCLUDED
accession,March 12,accession,march 12,BEFORE
mark,March 12,mark,march 12,IS_INCLUDED
ceremony,March 12,ceremony,march 12,IS_INCLUDED
ceremony,O,ceremony,O,AFTER
invited,O,invite,O,IS_INCLUDED
came,O,come,O,INCLUDES
discovered,O,discover,O,BEFORE
showed,O,show,O,INCLUDES
said,O,say,O,IS_INCLUDED
abandoned,December,abandon,december,BEFORE
found,December,find,december,IS_INCLUDED
shooting,O,shooting,O,BEFORE
vanished,O,vanish,O,BEFORE
slaying,days,slaying,day,AFTER
seen,days,see,day,IS_INCLUDED
said,O,say,O,IS_INCLUDED
shooting,O,shooting,O,BEFORE
sought,O,seek,O,INCLUDES
was,O,be,O,BEFORE
say,O,say,O,IS_INCLUDED
search,Thursday,search,thursday,IS_INCLUDED
unearthed,Thursday,unearthed,thursday,IS_INCLUDED
Buried,Thursday,bury,thursday,BEFORE
said,O,say,O,IS_INCLUDED
traced,O,trace,O,AFTER
have,O,have,O,INCLUDES
said,O,say,O,IS_INCLUDED
match,O,match,O,AFTER
able,O,able,O,AFTER
QUOTs,O,have,O,INCLUDES
kill,O,kill,O,BEFORE
used,O,use,O,BEFORE
determine,O,determine,O,AFTER
sent,O,send,O,BEFORE
buried,Friday,bury,friday,BEFORE
found,Friday,find,friday,BEFORE
said,Friday,say,friday,IS_INCLUDED
killed,last fall,kill,last fall,IS_INCLUDED
track,O,track,O,AFTER
trying,O,try,O,INCLUDES
yield,O,yield,O,AFTER
found,O,found,O,BEFORE
killed,1996,kill,1996,IS_INCLUDED
bombing,1996,bombing,1996,IS_INCLUDED
charged,O,charge,O,INCLUDES
maimed,January 1998,maim,january 1998,IS_INCLUDED
killed,January 1998,kill,january 1998,IS_INCLUDED
bombing,January 1998,bombing,january 1998,IS_INCLUDED
been,January 1998,be,january 1998,BEGUN_BY
attack,O,attack,O,BEFORE
sought,O,seek,O,INCLUDES
is,O,be,O,INCLUDES
did,Thursday,do,thursday,BEFORE
face,Thursday,face,thursday,AFTER
make,Thursday,make,thursday,AFTER
contact,Thursday,contact,thursday,AFTER
clear,Thursday,clear,thursday,AFTER
come,Thursday,come,thursday,AFTER
see,Thursday,see,thursday,AFTER
like,Thursday,like,thursday,IS_INCLUDED
said,Thursday,say,thursday,IS_INCLUDED
was,O,be,O,BEFORE
married,O,married,O,BEFORE
said,O,say,O,IS_INCLUDED
abandoned,December,abandon,december,INCLUDES
found,December,find,december,IS_INCLUDED
shooting,weeks,shooting,week,AFTER
spotted,weeks,spot,week,IS_INCLUDED
protesting,1990,protest,1990,INCLUDES
arrested,1990,arrest,1990,BEGUN_BY
Nicknamed,O,nicknamed,O,BEFORE
said,O,say,O,IS_INCLUDED
fired,O,fire,O,BEFORE
found,O,find,O,BEFORE
linked,O,link,O,BEFORE
fleeing,O,flee,O,BEFORE
reburying,O,rebury,O,BEFORE
fire,O,fire,O,BEFORE
digging,O,digging,O,BEFORE
shooting,O,shooting,O,BEFORE
buried,O,bury,O,BEFORE
believe,O,believe,O,INCLUDES
said,O,say,O,IS_INCLUDED
shot,O,shoot,O,BEFORE
breakthrough,O,breakthrough,O,BEFORE
represented,O,represent,O,INCLUDES
buried,O,bury,O,BEFORE
discovery,O,discovery,O,BEFORE
said,O,say,O,IS_INCLUDED
divulge,O,divulge,O,IS_INCLUDED
injured,November,injure,november,IS_INCLUDED
shootings,November,shooting,november,IS_INCLUDED
is,O,be,O,INCLUDES
confirmed,O,confirm,O,IS_INCLUDED
said,O,say,O,IS_INCLUDED
manhunt,O,manhunt,O,INCLUDES
intensify,O,intensify,O,BEGUN_BY
carries,O,carry,O,INCLUDES
carry,O,carry,O,INCLUDES
force,O,force,O,BEFORE
using,O,use,O,BEFORE
violating,O,violate,O,BEFORE
faces,O,face,O,INCLUDES
questioning,Thursday,question,thursday,AFTER
wanted,Thursday,want,thursday,INCLUDES
described,Thursday,describe,thursday,ENDED_BY
searching,Oct. 23,search,oct. 23,AFTER
slaying,Oct. 23,slaying,oct. 23,IS_INCLUDED
said,O,say,O,IS_INCLUDED
death,O,death,O,BEFORE
responsible,O,responsible,O,INCLUDES
believe,O,believe,O,INCLUDES
have,O,have,O,INCLUDES
are,O,be,O,INCLUDES
issued,O,issue,O,IS_INCLUDED
charged,Thursday,charge,thursday,IS_INCLUDED
cut,O,cut,O,BEFORE
slaying,O,slaying,O,BEFORE
manhunt,O,manhunt,O,INCLUDES
is,O,be,O,INCLUDES
killed,1996,kill,1996,IS_INCLUDED
bombing,1996,bombing,1996,IS_INCLUDED
attacks,1996,attack,1996,INCLUDES
charged,O,charge,O,INCLUDES
attack,O,attack,O,BEFORE
sought,O,seek,O,INCLUDES
is,O,be,O,INCLUDES
maimed,January 1998,maim,january 1998,IS_INCLUDED
killed,January 1998,kill,january 1998,IS_INCLUDED
bombing,January 1998,bombing,january 1998,IS_INCLUDED
been,January 1998,be,january 1998,BEGUN_BY
attacks,1997,attack,1997,ENDED_BY
attacks,1994,attack,1994,BEGUN_BY
intensified,O,intensify,O,IS_INCLUDED
filing,O,filing,O,IS_INCLUDED
abandoned,December,abandon,december,BEFORE
found,December,find,december,IS_INCLUDED
shooting,weeks,shooting,week,AFTER
spotted,weeks,spot,week,IS_INCLUDED
protesting,1990,protest,1990,BEGUN_BY
arrested,1990,arrest,1990,BEGUN_BY
Nicknamed,O,nicknamed,O,BEFORE
said,O,say,O,BEFORE
fired,O,fire,O,BEFORE
found,O,find,O,BEFORE
linked,O,link,O,BEFORE
shot,last month,shoot,last month,BEFORE
breakthrough,last month,breakthrough,last month,IS_INCLUDED
represented,last month,represent,last month,INCLUDES
buried,last month,bury,last month,BEFORE
discovery,last month,discovery,last month,IS_INCLUDED
said,O,say,O,IS_INCLUDED
divulge,O,divulge,O,IS_INCLUDED
called,Thursday,call,thursday,BEGUN_BY
questioning,Nov. 3,question,nov. 3,AFTER
hope,Nov. 3,hope,nov. 3,INCLUDES
shooting,Nov. 3,shooting,nov. 3,BEFORE
issued,Nov. 3,issue,nov. 3,AFTER
seen,Nov. 3,see,nov. 3,IS_INCLUDED
remain,O,remain,O,INCLUDES
carries,O,carry,O,INCLUDES
carry,O,carry,O,INCLUDES
force,Thursday,force,thursday,BEFORE
using,Thursday,use,thursday,BEFORE
violating,Thursday,violate,thursday,BEFORE
charged,Thursday,charge,thursday,IS_INCLUDED
called,November,call,november,IS_INCLUDED
manhunt,November,manhunt,november,INCLUDES
became,November,become,november,IS_INCLUDED
said,Today,say,today,IS_INCLUDED
have,Today,have,today,INCLUDES
tell,Today,tell,today,IS_INCLUDED
slaying,O,slaying,O,BEFORE
named,O,name,O,IS_INCLUDED
is,O,be,O,INCLUDES
shot,last fall,shot,last fall,IS_INCLUDED
gunned,last fall,gun,last fall,IS_INCLUDED
heating,last fall,heat,last fall,IS_INCLUDED
used,O,use,O,BEFORE
has,O,have,O,INCLUDES
protests,O,protest,O,BEFORE
arrested,O,arrest,O,BEFORE
said,O,say,O,IS_INCLUDED
traveled,O,travel,O,BEFORE
shooting,O,shooting,O,BEFORE
fired,O,fire,O,BEFORE
killed,O,kill,O,BEFORE
weighs,O,weigh,O,INCLUDES
is,O,be,O,INCLUDES
walks,O,walk,O,INCLUDES
wears,O,wear,O,INCLUDES
known,O,know,O,INCLUDES
is,O,be,O,INCLUDES
says,O,say,O,IS_INCLUDED
awaiting,O,await,O,INCLUDES
apprehended,O,apprehend,O,INCLUDES
charged,O,charge,O,BEFORE
be,O,be,O,INCLUDES
known,O,know,O,INCLUDES
said,O,say,O,IS_INCLUDED
assistance,1950,assistance,1950,BEGUN_BY
located,1950,locate,1950,BEGUN_BY
taken,1950,take,1950,BEGUN_BY
began,1950,begin,1950,IS_INCLUDED
placed,O,place,O,IS_INCLUDED
are,O,be,O,INCLUDES
violations,O,violation,O,BEFORE
commit,O,commit,O,BEFORE
charged,O,charge,O,INCLUDES
hand,April,hand,april,IS_INCLUDED
removed,April,remove,april,AFTER
agreed,April,agree,april,IS_INCLUDED
killed,Dec. 21 COMMA 1988,kill,dec. 21 COMMA 1988,IS_INCLUDED
bombing,Dec. 21 COMMA 1988,bomb,dec. 21 COMMA 1988,IS_INCLUDED
charged,O,charge,O,INCLUDES
replace,O,replace,O,IS_INCLUDED
paid,O,pay,O,BEFORE
said,O,say,O,IS_INCLUDED
said,O,say,O,IS_INCLUDED
continues,O,continue,O,INCLUDES
fight,O,fight,O,INCLUDES
commitment,O,commitment,O,INCLUDES
underscores,O,underscore,O,IS_INCLUDED
placing,O,place,O,IS_INCLUDED
said,O,say,O,IS_INCLUDED
said,O,say,O,IS_INCLUDED
been,past 20 years,be,past 20 year,IS_INCLUDED
held,past 20 years,hold,past 20 year,IS_INCLUDED
be,O,be,O,INCLUDES
purports,O,purport,O,INCLUDES
said,O,say,O,IS_INCLUDED
crossed,O,cross,O,BEFORE
unknown,O,unknown,O,INCLUDES
approached,O,approach,O,BEFORE
case,O,case,O,INCLUDES
been,O,be,O,INCLUDES
hiding,O,hide,O,INCLUDES
said,O,say,O,IS_INCLUDED
unknown,O,unknown,O,INCLUDES
have,O,have,O,INCLUDES
using,O,use,O,BEFORE
believes,O,believe,O,INCLUDES
have,O,have,O,INCLUDES
said,O,say,O,IS_INCLUDED
offered,O,offer,O,BEFORE
announced,O,announce,O,IS_INCLUDED
comes,O,come,O,IS_INCLUDED
capture,O,capture,O,AFTER
leading,O,lead,O,AFTER
provided,last fall,provide,last fall,INCLUDES
gunning,last fall,gun,last fall,IS_INCLUDED
charged,O,charge,O,INCLUDES
arrest,O,arrest,O,AFTER
leading,O,lead,O,AFTER
offered,O,offer,O,INCLUDES
offered,O,offer,O,INCLUDES
is,O,be,O,INCLUDES
killed,Aug. 7 COMMA 1998,kill,aug. 7 COMMA 1998,IS_INCLUDED
bombings,Aug. 7 COMMA 1998,bombing,aug. 7 COMMA 1998,IS_INCLUDED
bombings,O,bombing,O,BEFORE
indicted,O,indict,O,BEFORE
conviction,O,conviction,O,AFTER
arrest,O,arrest,O,AFTER
leads,O,lead,O,AFTER
offering,O,offer,O,INCLUDES
said,O,say,O,IS_INCLUDED
accused,Monday,accuse,monday,INCLUDES
put,Monday,put,monday,IS_INCLUDED
went,O,go,O,BEFORE
offered,O,offer,O,BEFORE
indicted,O,indict,O,BEFORE
reported,O,report,O,BEFORE
said,O,say,O,BEFORE
heads,O,head,O,INCLUDES
scheduled,O,schedule,O,BEFORE
arrested,O,arrest,O,BEFORE
brought,O,bring,O,BEFORE
offered,today,offer,today,BEFORE
accused,today,accuse,today,INCLUDES
indicted,today,indict,today,BEFORE
reported,today,report,today,IS_INCLUDED
arrested,Thursday morning,arrest,thursday morning,IS_INCLUDED
said,today,say,today,IS_INCLUDED
prosecuting,today,prosecute,today,IS_INCLUDED
investigating,today,investigate,today,IS_INCLUDED
heads,today,head,today,INCLUDES
appear,midday,appear,midday,IS_INCLUDED
scheduled,midday,schedule,midday,BEFORE
blasts,last year,blast,last year,IS_INCLUDED
arrested,today,arrest,today,BEFORE
risked,O,risk,O,BEFORE
said,O,say,O,IS_INCLUDED
served,O,serve,O,BEFORE
paid,O,pay,O,BEFORE
killed,O,kill,O,BEFORE
spoke,O,speak,O,IS_INCLUDED
has,O,have,O,INCLUDES
bombing,O,bombing,O,BEFORE
operations,O,operation,O,BEFORE
undergone,O,undergone,O,BEFORE
listened,O,listen,O,IS_INCLUDED
violence,1993,violence,1993,BEGUN_BY
injured,1993,injure,1993,BEGUN_BY
killed,1993,kill,1993,BEGUN_BY
lighting,Sunday,lighting,sunday,IS_INCLUDED
included,Sunday,include,sunday,IS_INCLUDED
lighting,Sunday,lighting,sunday,IS_INCLUDED
lighting,Sunday,lighting,sunday,IS_INCLUDED
commemorates,Sunday,commemorate,sunday,INCLUDES
ceremony,Sunday,ceremony,sunday,IS_INCLUDED
service,Sunday,service,sunday,IS_INCLUDED
scary,O,scary,O,INCLUDES
said,O,say,O,IS_INCLUDED
out,O,out,O,INCLUDES
knowing,O,know,O,INCLUDES
frustrating,O,frustrating,O,INCLUDES
is,O,be,O,INCLUDES
know,O,know,O,INCLUDES
search,O,search,O,INCLUDES
admit,O,admit,O,IS_INCLUDED
remains,O,remain,O,INCLUDES
slaying,May 6,slaying,may 6,BEFORE
charged,May 6,charge,may 6,IS_INCLUDED
assassination,Earlier that day,assassination,earlier that day,INCLUDES
targeted,Earlier that day,target,earlier that day,INCLUDES
warned,Earlier that day,warn,earlier that day,INCLUDES
explaining,Earlier that day,explain,earlier that day,IS_INCLUDED
fax,Earlier that day,fax,earlier that day,IS_INCLUDED
sent,Earlier that day,send,earlier that day,IS_INCLUDED
hiding,Oct. 23 COMMA 1999,hiding,oct. 23 COMMA 1999,IS_INCLUDED
killed,Oct. 23 COMMA 1999,kill,oct. 23 COMMA 1999,IS_INCLUDED
leaked,Saturday,leak,saturday,IS_INCLUDED
canceled,Saturday,cancel,saturday,IS_INCLUDED
planned,Saturday,plan,saturday,IS_INCLUDED
service,Saturday,service,saturday,IS_INCLUDED
worried,tonight,worried,tonight,IS_INCLUDED
ceremony,O,ceremony,O,IS_INCLUDED
said,O,say,O,IS_INCLUDED
is,O,be,O,IS_INCLUDED
scattered,O,scatter,O,IS_INCLUDED
watch,O,watch,O,IS_INCLUDED
ceremony,O,ceremony,O,IS_INCLUDED
attended,O,attend,O,IS_INCLUDED
among,O,among,O,IS_INCLUDED
bombing,1998,bombing,1998,IS_INCLUDED
injured,1998,injure,1998,IS_INCLUDED
attended,one year,attend,one year,ENDS
killed,one year,kill,one year,BEGINS
performed,Sunday,perform,sunday,BEFORE
service,Sunday,service,sunday,IS_INCLUDED
attended,Sunday,attend,sunday,IS_INCLUDED
contained,O,contain,O,BEFORE
expected,O,expect,O,INCLUDES
warned,O,warn,O,BEFORE
saying,O,say,O,BEFORE
disputed,O,dispute,O,BEFORE
complained,O,complain,O,BEFORE
designed,O,design,O,BEFORE
scheduled,O,schedule,O,BEFORE
leaving,O,leave,O,BEFORE
said,last week,say,last week,IS_INCLUDED
said,Monday,say,monday,IS_INCLUDED
arrived,the weekend,arrive,the weekend,IS_INCLUDED
bombing,the weekend,bombing,the weekend,BEFORE
came,Sunday,come,sunday,IS_INCLUDED
ordered,Sunday,order,sunday,IS_INCLUDED
warned,Sunday,warn,sunday,IS_INCLUDED
threats,Sunday,threat,sunday,BEFORE
bombings,Aug. 7,bombing,aug. 7,IS_INCLUDED
issued,Sunday,issue,sunday,IS_INCLUDED
trip,one-day,trip,one-day,IS_INCLUDED
tragedy,Friday,tragedy,friday,BEFORE
lifted,Friday,lift,friday,IS_INCLUDED
set,Friday,set,friday,IS_INCLUDED
complained,Monday,complain,monday,BEFORE
visit,Tuesday,visit,tuesday,IS_INCLUDED
stop,five hours,stop,five hour,IS_INCLUDED
spend,five hours,spend,five hour,IS_INCLUDED
stop,Tuesday morning,stop,tuesday morning,IS_INCLUDED
flight,16-hour,flight,16-hour,IS_INCLUDED
leaving,Monday,leave,monday,IS_INCLUDED
said,Monday,say,monday,IS_INCLUDED
seeking,Tuesday,seek,tuesday,IS_INCLUDED
headed,Tuesday,head,tuesday,IS_INCLUDED
appeared,O,appear,O,BEFORE
said,O,say,O,BEFORE
fought,O,fight,O,BEFORE
keep,O,keep,O,INCLUDES
died,O,die,O,BEFORE
appealed,O,appeal,O,BEFORE
exhorted,O,exhort,O,BEFORE
warned,O,warn,O,BEFORE
returned,Jan. 14,return,jan. 14,IS_INCLUDED
announced,Wednesday,announce,wednesday,IS_INCLUDED
fought,Wednesday,fight,wednesday,BEFORE
wants,now,want,now,IS_INCLUDED
died,late November,die,late november,IS_INCLUDED
battle,late November,battle,late november,AFTER
Found,late November,found,late november,IS_INCLUDED
appealed,now,appeal,now,IS_INCLUDED
stop,one minute,stop,one minute,INCLUDES
stop,one minute,stop,one minute,INCLUDES
exhorted,now,exhort,now,IS_INCLUDED
proceed,now,proceed,now,IS_INCLUDED
rally,Wednesday night,rally,wednesday night,IS_INCLUDED
read,Wednesday night,read,wednesday night,IS_INCLUDED
said,Wednesday night,say,wednesday night,IS_INCLUDED
warned,Wednesday,warn,wednesday,IS_INCLUDED
return,Wednesday,return,wednesday,AFTER
decision,late November,decision,late november,AFTER
decision,Wednesday,decision,wednesday,BEFORE
located,O,locate,O,BEFORE
appeared,O,appear,O,BEFORE
saying,O,say,O,BEFORE
accident,O,accident,O,BEFORE
become,O,become,O,BEFORE
said,O,say,O,BEFORE
exhorted,O,exhort,O,BEFORE
blocked,O,block,O,BEFORE
