@relation te3-ee

@attribute token1 {0,1}
@attribute token2 {0,1}
@attribute lemma1 {0,1}
@attribute lemma2 {0,1}
@attribute tokenchunk1 {0,1}
@attribute tokenchunk2 {0,1}
@attribute tempMarkerText {0,1}
@attribute causMarkerText {0,1}
@attribute label {BEFORE, AFTER, IBEFORE, IAFTER, IDENTITY, SIMULTANEOUS, INCLUDES, IS_INCLUDED, DURING, DURING_INV, BEGINS, BEGUN_BY, ENDS, ENDED_BY}

@data
said,bombings,say,bombing,said,The suspected car bombings,O,O,AFTER
bombings,said,bombing,say,Terrorist bombings,said,as,O,BEFORE
injured,expected,injure,expect,more than 1COMMA700 injured,was expected to rise,as,O,BEFORE
expected,blast,expect,blast,was expected to rise,The blast,O,O,AFTER
expected,attack,expect,attack,was expected to rise,attack,O,O,AFTER
expected,bombings,expect,bombing,was expected to rise,The suspected car bombings,O,O,AFTER
bombings,expected,bombing,expect,Terrorist bombings,was expected to rise,as,O,BEFORE
injured,missing,injure,miss,more than 1COMMA700 injured,missing,as,O,BEFORE
missing,blast,miss,blast,missing,The blast,O,O,AFTER
missing,attack,miss,attack,missing,attack,O,O,AFTER
missing,bombings,miss,bombing,missing,The suspected car bombings,O,O,AFTER
bombings,missing,bombing,miss,Terrorist bombings,missing,as,O,BEFORE
injured,broke,injure,break,more than 1COMMA700 injured,broke,as,as,BEFORE
broke,blast,break,blast,broke,The blast,as,O,AFTER
broke,attack,break,attack,broke,attack,as,O,AFTER
broke,bombings,break,bombing,broke,The suspected car bombings,as,O,AFTER
bombings,broke,bombing,break,Terrorist bombings,broke,O,O,BEFORE
injured,said,injure,say,more than 1COMMA700 injured,said,as,O,BEFORE
said,blast,say,blast,said,The blast,as,O,AFTER
said,attack,say,attack,said,attack,as,O,AFTER
said,bombings,say,bombing,said,The suspected car bombings,as,O,AFTER
bombings,said,bombing,say,Terrorist bombings,said,O,O,BEFORE
killed,attack,kill,attack,were killed,attack,as,O,AFTER
killed,bombings,kill,bombing,were killed,The suspected car bombings,as,O,AFTER
bombings,killed,bombing,kill,Terrorist bombings,were killed,O,O,BEFORE
killed,claimed,kill,claim,were killed,has claimed,as,O,BEFORE
killed,said,kill,say,were killed,said,as,O,BEFORE
killed,appears,kill,appear,were killed,appears to have been,as,O,BEFORE
killed,said,kill,say,were killed,said,as,O,BEFORE
killed,expected,kill,expect,were killed,was expected to rise,as,O,BEFORE
killed,missing,kill,miss,were killed,missing,as,O,BEFORE
killed,broke,kill,break,were killed,broke,as,as,BEFORE
killed,said,kill,say,were killed,said,as,O,BEFORE
cleared,injured,clear,injure,rescuers cleared,more than 1COMMA700 injured,O,O,AFTER
cleared,blast,clear,blast,rescuers cleared,The blast,as,O,AFTER
cleared,attack,clear,attack,rescuers cleared,attack,as,O,AFTER
cleared,bombings,clear,bombing,rescuers cleared,The suspected car bombings,as,O,AFTER
bombings,cleared,bombing,clear,Terrorist bombings,rescuers cleared,O,under,BEFORE
cleared,killed,clear,kill,rescuers cleared,were killed,O,O,AFTER
trapping,bombings,trapping,bombing,trapping,The suspected car bombings,as,O,AFTER
bombings,trapping,bombing,trapping,Terrorist bombings,trapping,O,under,BEFORE
blew,injured,blow,injure,blew,more than 1COMMA700 injured,O,O,BEFORE
blew,bombings,blow,bombing,blew,The suspected car bombings,as,O,IS_INCLUDED
bombings,blew,bombing,blow,Terrorist bombings,blew,O,O,INCLUDES
blew,claimed,blow,claim,blew,has claimed,as,O,BEFORE
blew,said,blow,say,blew,said,as,O,BEFORE
blew,appears,blow,appear,blew,appears to have been,as,O,BEFORE
blew,turning,blow,turn,blew,turning,as,O,BEFORE
blew,said,blow,say,blew,said,as,O,BEFORE
blew,expected,blow,expect,blew,was expected to rise,as,O,BEFORE
blew,missing,blow,miss,blew,missing,as,O,BEFORE
blew,broke,blow,break,blew,broke,O,O,BEFORE
blew,said,blow,say,blew,said,O,O,BEFORE
blew,killed,blow,kill,blew,were killed,O,O,BEFORE
blew,cleared,blow,clear,blew,rescuers cleared,O,under,BEFORE
blew,trapping,blow,trapping,blew,trapping,O,under,BEFORE
bombings,bombings,bombing,bombing,Terrorist bombings,The suspected car bombings,as,O,IDENTITY
bombings,attack,bombing,attack,Terrorist bombings,attack,as,O,INCLUDES
expected,said,expect,say,was expected to rise,said,O,O,BEFORE
said,broke,say,break,said,broke,as,as,SIMULTANEOUS
bombings,missing,bombing,miss,Terrorist bombings,missing,as,O,BEFORE
injured,broke,injure,break,more than 1COMMA700 injured,broke,as,as,BEFORE
killed,injured,kill,injure,were killed,more than 1COMMA700 injured,O,O,SIMULTANEOUS
bombings,killed,bombing,kill,Terrorist bombings,were killed,O,O,IBEFORE
wounded,said,wounded,say,1COMMA643 wounded,said,O,O,BEFORE
killed,wounded,kill,wounded,were killed,1COMMA643 wounded,O,O,SIMULTANEOUS
blast,wounded,blast,wounded,The blast,1COMMA643 wounded,O,O,BEFORE
blast,killed,blast,kill,The blast,were killed,O,O,BEFORE
blast,toppling,blast,toppling,The blast,toppling,O,O,BEFORE
appears,said,appear,say,appears to have been,said,O,O,BEFORE
appears,attack,appear,attack,appears to have been,attack,O,O,AFTER
bombings,turning,bombing,turn,The suspected car bombings,turning,into,from,BEFORE
bombings,trapping,bombing,trapping,Terrorist bombings,trapping,O,under,BEFORE
bombings,blew,bombing,blow,Terrorist bombings,blew,O,O,INCLUDES
said,swaying,say,sway,said,swaying,O,from,AFTER
prevented,said,prevent,say,may have prevented,said,O,O,BEFORE
shook,plagues,shake,plague,shook,plagues,O,from,AFTER
shook,swaying,shake,sway,shook,swaying,O,from,AFTER
shook,prevented,shake,prevent,shook,may have prevented,O,O,AFTER
said,plagues,say,plague,said,plagues,O,from,AFTER
prevented,swaying,prevent,sway,may have prevented,swaying,O,from,AFTER
shook,prevented,shake,prevent,shook,may have prevented,O,O,AFTER
Injured,Treated,injured,treated,12 Injured,542 Treated,O,O,BEFORE
bombings,Injured,bombing,injured,the bombings,0 Injured,following,following,BEFORE
bombings,Injured,bombing,injured,the bombings,12 Injured,following,following,BEFORE
Injured,discharged,injured,discharge,12 Injured,discharged :,O,O,BEFORE
Treated,discharged,treated,discharge,542 Treated,discharged :,O,O,BEFORE
bombings,discharged,bombing,discharge,the bombings,discharged :,following,following,BEFORE
Injured,Treated,injured,treated,12 Injured,542 Treated,O,O,BEFORE
bombings,Injured,bombing,injured,the bombings,0 Injured,following,following,IBEFORE
Treated,discharged,treated,discharge,542 Treated,discharged :,O,O,BEFORE
bombings,Treated,bombing,treated,the bombings,542 Treated,following,following,BEFORE
bombings,Injured,bombing,injured,the bombings,12 Injured,following,following,IBEFORE
maiming,injured,maiming,injure,murder and maiming,injured,O,cause is,BEFORE
offered,maiming,offer,maiming,offered,murder and maiming,O,cause is,AFTER
maiming,bombings,maiming,bombing,murder and maiming,the bombings,O,cause is,IDENTITY
offered,bombings,offer,bombing,offered,the bombings,O,O,AFTER
murder,injured,murder,injure,murder and maiming,injured,O,cause is,BEFORE
offered,murder,offer,murder,offered,murder and maiming,O,cause is,AFTER
murder,bombings,murder,bombing,murder and maiming,the bombings,O,cause is,IDENTITY
outrages,injured,outrage,injure,these outrages,injured,O,O,BEFORE
outrages,maiming,outrage,maiming,these outrages,murder and maiming,O,cause is,IDENTITY
offered,outrages,offer,outrage,offered,these outrages,O,O,AFTER
outrages,bombings,outrage,bombing,these outrages,the bombings,O,O,IDENTITY
outrages,murder,outrage,murder,these outrages,murder and maiming,O,cause is,IDENTITY
bombings,injured,bombing,injure,the bombings,injured,O,O,BEFORE
bombings,maiming,bombing,maiming,the bombings,murder and maiming,O,cause is,IDENTITY
bombings,offered,bombing,offer,the bombings,offered,O,O,BEFORE
bombings,murder,bombing,murder,the bombings,murder and maiming,O,cause is,IDENTITY
claimed,injured,claim,injure,claimed,injured,O,O,IDENTITY
maiming,claimed,maiming,claim,murder and maiming,claimed,O,cause is,BEFORE
bombings,claimed,bombing,claim,the bombings,claimed,O,O,BEFORE
murder,claimed,murder,claim,murder and maiming,claimed,O,cause is,BEFORE
outrages,claimed,outrage,claim,these outrages,claimed,O,O,BEFORE
said,maiming,say,maiming,said,murder and maiming,O,cause is,AFTER
said,bombings,say,bombing,said,the bombings,O,O,AFTER
said,murder,say,murder,said,murder and maiming,O,cause is,AFTER
outrages,said,outrage,say,these outrages,said,O,O,BEFORE
extend,maiming,extend,maiming,extend,murder and maiming,O,cause is,AFTER
extend,bombings,extend,bombing,extend,the bombings,O,O,AFTER
extend,murder,extend,murder,extend,murder and maiming,O,cause is,AFTER
extend,outrages,extend,outrage,extend,these outrages,O,O,AFTER
condemned,maiming,condemn,maiming,condemned,murder and maiming,O,cause is,AFTER
condemned,bombings,condemn,bombing,condemned,the bombings,O,O,AFTER
condemned,murder,condemn,murder,condemned,murder and maiming,O,cause is,AFTER
condemned,outrages,condemn,outrage,condemned,these outrages,O,O,AFTER
condemned,bombings,condemn,bombing,condemned,the bombings,O,O,AFTER
bombings,claimed,bombing,claim,the bombings,claimed,O,O,BEFORE
bombings,said,bombing,say,the bombings,said,O,O,BEFORE
bombings,extend,bombing,extend,the bombings,extend,O,O,BEFORE
bombings,offered,bombing,offer,the bombings,offered,O,O,BEFORE
claimed,injured,claim,injure,claimed,injured,O,O,SIMULTANEOUS
bombings,injured,bombing,injure,the bombings,injured,O,O,IBEFORE
bombings,claimed,bombing,claim,the bombings,claimed,O,O,IBEFORE
bombings,outrages,bombing,outrage,the bombings,these outrages,O,O,IDENTITY
bombings,bombings,bombing,bombing,the bombings,the bombings,O,O,IDENTITY
murder,maiming,murder,maiming,murder and maiming,murder and maiming,O,so,IDENTITY
outrages,murder,outrage,murder,these outrages,murder and maiming,O,cause is,IDENTITY
condemned,offered,condemn,offer,condemned,offered,O,O,SIMULTANEOUS
injured,arrest,injure,arrest,injured,the arrest,O,O,AFTER
refrain,arrest,refrain,arrest,to refrain,the arrest,O,O,AFTER
arrest,maintenance,arrest,maintenance,the arrest,the maintenance,O,O,BEFORE
arrest,punishment,arrest,punishment,the arrest,the punishment,O,O,BEFORE
suppression,arrest,suppression,arrest,the suppression,the arrest,O,O,AFTER
injured,incidents,injure,incident,injured,The incidents,O,O,AFTER
refrain,incidents,refrain,incident,to refrain,The incidents,O,O,AFTER
incidents,maintenance,incident,maintenance,The incidents,the maintenance,O,O,BEFORE
incidents,arrest,incident,arrest,The incidents,the arrest,O,O,AFTER
attacks,injured,attack,injure,attacks,injured,O,O,BEFORE
refrain,attacks,refrain,attack,to refrain,attacks,O,O,AFTER
attacks,maintenance,attack,maintenance,attacks,the maintenance,O,O,BEFORE
attacks,arrest,attack,arrest,attacks,the arrest,O,O,AFTER
attacks,suppression,attack,suppression,attacks,the suppression,O,O,BEFORE
attacks,incidents,attack,incident,attacks,The incidents,O,O,IDENTITY
attacks,injured,attack,injure,the QUOTQUOT terrorist bomb attacks,injured,O,O,BEFORE
attacks,refrain,attack,refrain,the QUOTQUOT terrorist bomb attacks,to refrain,O,O,BEFORE
attacks,maintenance,attack,maintenance,the QUOTQUOT terrorist bomb attacks,the maintenance,O,O,BEFORE
attacks,arrest,attack,arrest,the QUOTQUOT terrorist bomb attacks,the arrest,O,O,AFTER
attacks,suppression,attack,suppression,the QUOTQUOT terrorist bomb attacks,the suppression,O,O,BEFORE
attacks,incidents,attack,incident,the QUOTQUOT terrorist bomb attacks,The incidents,O,O,IDENTITY
attacks,attacks,attack,attack,the QUOTQUOT terrorist bomb attacks,attacks,O,O,IDENTITY
attacks,injured,attack,injure,the terrorist bomb attacks,injured,O,O,BEFORE
attacks,refrain,attack,refrain,the terrorist bomb attacks,to refrain,O,O,BEFORE
attacks,maintenance,attack,maintenance,the terrorist bomb attacks,the maintenance,O,O,BEFORE
attacks,arrest,attack,arrest,the terrorist bomb attacks,the arrest,O,O,AFTER
attacks,suppression,attack,suppression,the terrorist bomb attacks,the suppression,O,O,BEFORE
attacks,incidents,attack,incident,the terrorist bomb attacks,The incidents,O,O,IDENTITY
attacks,attacks,attack,attack,the terrorist bomb attacks,attacks,O,O,IDENTITY
attacks,attacks,attack,attack,the terrorist bomb attacks,the QUOTQUOT terrorist bomb attacks,O,O,IDENTITY
resolution,refrain,resolution,refrain,A resolution,to refrain,O,O,BEGINS
resolution,arrest,resolution,arrest,A resolution,the arrest,O,O,AFTER
resolution,suppression,resolution,suppression,A resolution,the suppression,O,O,BEFORE
resolution,incidents,resolution,incident,A resolution,The incidents,O,O,AFTER
resolution,attacks,resolution,attack,A resolution,attacks,O,O,AFTER
resolution,attacks,resolution,attack,A resolution,the QUOTQUOT terrorist bomb attacks,O,O,AFTER
resolution,attacks,resolution,attack,A resolution,the terrorist bomb attacks,O,by,AFTER
bombing,injured,bombing,injure,the bombing,injured,O,O,BEFORE
bombing,refrain,bombing,refrain,the bombing,to refrain,O,O,BEFORE
bombing,maintenance,bombing,maintenance,the bombing,the maintenance,O,O,BEFORE
bombing,arrest,bombing,arrest,the bombing,the arrest,O,O,AFTER
bombing,suppression,bombing,suppression,the bombing,the suppression,O,O,BEFORE
bombing,incidents,bombing,incident,the bombing,The incidents,O,O,IDENTITY
bombing,attacks,bombing,attack,the bombing,attacks,O,O,IDENTITY
bombing,attacks,bombing,attack,the bombing,the QUOTQUOT terrorist bomb attacks,O,O,IDENTITY
bombing,attacks,bombing,attack,the bombing,the terrorist bomb attacks,O,O,IDENTITY
bombing,resolution,bombing,resolution,the bombing,A resolution,O,O,BEFORE
arrest,said,arrest,say,the arrest,said,O,O,BEFORE
incidents,said,incident,say,The incidents,said,O,O,BEFORE
attacks,said,attack,say,attacks,said,O,O,BEFORE
attacks,said,attack,say,the QUOTQUOT terrorist bomb attacks,said,O,O,BEFORE
attacks,said,attack,say,the terrorist bomb attacks,said,O,O,BEFORE
resolution,said,resolution,say,A resolution,said,O,O,BEFORE
bombing,said,bombing,say,the bombing,said,O,O,BEFORE
killed,injured,kill,injure,killed,injured,O,O,IDENTITY
killed,arrest,kill,arrest,killed,the arrest,O,O,AFTER
killed,incidents,kill,incident,killed,The incidents,O,O,AFTER
attacks,killed,attack,kill,the QUOTQUOT terrorist bomb attacks,killed,O,O,BEFORE
attacks,killed,attack,kill,the terrorist bomb attacks,killed,O,O,BEFORE
bombing,killed,bombing,kill,the bombing,killed,O,O,BEFORE
stresses,refrain,stress,refrain,stresses,to refrain,O,O,IS_INCLUDED
stresses,arrest,stress,arrest,stresses,the arrest,O,O,AFTER
stresses,suppression,stress,suppression,stresses,the suppression,O,O,BEFORE
stresses,incidents,stress,incident,stresses,The incidents,O,O,AFTER
stresses,attacks,stress,attack,stresses,attacks,O,O,AFTER
attacks,stresses,attack,stress,the QUOTQUOT terrorist bomb attacks,stresses,O,O,BEFORE
attacks,stresses,attack,stress,the terrorist bomb attacks,stresses,O,O,BEFORE
bombing,stresses,bombing,stress,the bombing,stresses,O,O,BEFORE
stresses,said,stress,say,stresses,said,O,O,BEFORE
condemns,refrain,condemn,refrain,condemns,to refrain,O,O,IS_INCLUDED
condemns,arrest,condemn,arrest,condemns,the arrest,O,O,AFTER
condemns,suppression,condemn,suppression,condemns,the suppression,O,O,BEFORE
condemns,incidents,condemn,incident,condemns,The incidents,O,O,AFTER
condemns,attacks,condemn,attack,condemns,attacks,O,O,AFTER
condemns,attacks,condemn,attack,condemns,the QUOTQUOT terrorist bomb attacks,O,O,AFTER
attacks,condemns,attack,condemn,the terrorist bomb attacks,condemns,O,O,BEFORE
bombing,condemns,bombing,condemn,the bombing,condemns,O,O,BEFORE
condemns,said,condemn,say,condemns,said,O,O,BEFORE
expresses,refrain,express,refrain,expresses,to refrain,O,O,IS_INCLUDED
expresses,arrest,express,arrest,expresses,the arrest,O,O,AFTER
expresses,suppression,express,suppression,expresses,the suppression,O,O,BEFORE
expresses,incidents,express,incident,expresses,The incidents,O,O,AFTER
expresses,attacks,express,attack,expresses,attacks,O,O,AFTER
expresses,attacks,express,attack,expresses,the QUOTQUOT terrorist bomb attacks,O,O,AFTER
expresses,attacks,express,attack,expresses,the terrorist bomb attacks,O,O,AFTER
bombing,expresses,bombing,express,the bombing,expresses,O,O,BEFORE
expresses,said,express,say,expresses,said,O,O,BEFORE
adopted,refrain,adopt,refrain,adopted,to refrain,O,O,IS_INCLUDED
adopted,arrest,adopt,arrest,adopted,the arrest,O,O,AFTER
adopted,suppression,adopt,suppression,adopted,the suppression,O,O,BEFORE
adopted,attacks,adopt,attack,adopted,attacks,O,O,AFTER
adopted,attacks,adopt,attack,adopted,the QUOTQUOT terrorist bomb attacks,O,O,AFTER
adopted,attacks,adopt,attack,adopted,the terrorist bomb attacks,O,by,AFTER
bombing,adopted,bombing,adopt,the bombing,adopted,O,O,BEFORE
adopted,said,adopt,say,adopted,said,O,O,BEFORE
condemned,arrest,condemn,arrest,condemned,the arrest,O,O,AFTER
condemned,incidents,condemn,incident,condemned,The incidents,O,O,AFTER
condemned,attacks,condemn,attack,condemned,attacks,O,O,AFTER
condemned,attacks,condemn,attack,condemned,the QUOTQUOT terrorist bomb attacks,O,O,AFTER
condemned,attacks,condemn,attack,condemned,the terrorist bomb attacks,O,O,AFTER
condemned,resolution,condemn,resolution,condemned,A resolution,O,O,AFTER
condemned,bombing,condemn,bombing,condemned,the bombing,O,O,AFTER
condemned,stresses,condemn,stress,condemned,stresses,O,O,AFTER
condemned,condemns,condemn,condemn,condemned,condemns,O,O,AFTER
condemned,expresses,condemn,express,condemned,expresses,O,O,AFTER
condemned,adopted,condemn,adopt,condemned,adopted,O,O,AFTER
condemned,finding,condemn,find,condemned,finding,O,O,AFTER
condemned,cooperate,condemn,cooperate,condemned,to cooperate,O,O,AFTER
suppression,said,suppression,say,the suppression,said,O,O,AFTER
incidents,maintenance,incident,maintenance,The incidents,the maintenance,O,O,BEFORE
conviction,punishment,conviction,punishment,the conviction,the punishment,O,O,BEFORE
arrest,conviction,arrest,conviction,the arrest,the conviction,O,O,BEFORE
incidents,arrest,incident,arrest,The incidents,the arrest,O,O,AFTER
incidents,suppression,incident,suppression,The incidents,the suppression,O,O,BEFORE
bombing,incidents,bombing,incident,the bombing,The incidents,O,O,IDENTITY
killed,injured,kill,injure,killed,injured,O,O,SIMULTANEOUS
attacks,killed,attack,kill,attacks,killed,O,O,IBEFORE
attacks,attacks,attack,attack,the QUOTQUOT terrorist bomb attacks,attacks,O,O,IDENTITY
resolution,refrain,resolution,refrain,A resolution,to refrain,O,O,BEGINS
resolution,stresses,resolution,stress,A resolution,stresses,O,O,INCLUDES
attacks,attacks,attack,attack,the terrorist bomb attacks,the QUOTQUOT terrorist bomb attacks,O,O,IDENTITY
resolution,condemns,resolution,condemn,A resolution,condemns,O,O,INCLUDES
bombing,attacks,bombing,attack,the bombing,the terrorist bomb attacks,O,O,IDENTITY
resolution,attacks,resolution,attack,A resolution,the terrorist bomb attacks,O,by,AFTER
resolution,expresses,resolution,express,A resolution,expresses,O,by,INCLUDES
resolution,adopted,resolution,adopt,A resolution,adopted,O,by,INCLUDES
called,finding,call,find,called,finding,O,O,AFTER
called,cooperate,call,cooperate,called,to cooperate,O,O,AFTER
condemned,called,condemn,call,condemned,called,O,O,IAFTER
condemned,bombing,condemn,bombing,condemned,the bombing,O,O,AFTER
flown,urged,fly,urge,were flown,been urged to leave,also,O,BEFORE
bombings,bombings,bombing,bombing,the bombings,the Africa bombings,meanwhile,O,IDENTITY
left,bombings,leave,bombing,_ left,the Africa bombings,since,since,AFTER
bombing,bombing,bombing,bombing,bombing,the bombing,meanwhile,O,IDENTITY
questioning,bombing,question,bombing,questioning,the bombing,O,O,AFTER
said,questioning,say,question,said,questioning,O,O,AFTER
arrests,made,arrest,make,more arrests,had been made,O,O,IS_INCLUDED
denied,arrests,deny,arrest,denied,more arrests,O,O,AFTER
said,elaborate,say,elaborate,said,would not elaborate,O,O,BEFORE
elaborate,comment,elaborate,comment,would not elaborate,comment,as,as,SIMULTANEOUS
draw,conclusions,draw,conclusion,m not going to draw,conclusions,O,O,INCLUDES
said,led,say,lead,said,had led,O,O,AFTER
interrogations,led,interrogation,lead,the interrogations,had led,O,O,BEFORE
questioned,interrogations,question,interrogation,has questioned,the interrogations,O,O,IS_INCLUDED
said,indicated,say,indicate,said,but indicated,O,O,BEFORE
investigation,questioned,investigation,question,the FBI investigation,has questioned,O,O,INCLUDES
said,questioned,say,question,said,has questioned,O,O,AFTER
bombings,investigation,bombing,investigation,These bombings,the FBI investigation,O,O,AFTER
cause,declared,cause,declare,will not cause,declared,O,O,AFTER
bombings,cause,bombing,cause,These bombings,will not cause,O,O,BEFORE
conference,declared,conference,declare,a joint news conference,declared,as,O,INCLUDES
bombings,bombings,bombing,bombing,the bombings,These bombings,as,O,IDENTITY
told,said,tell,say,told,said,O,O,IDENTITY
urged,told,urge,tell,urged,told,also,O,BEFORE
urged,continue,urge,continue,urged,should continue visiting and investing,also,O,BEFORE
urged,tell,urge,tell,urged,to tell,also,O,BEFORE
conference,urged,conference,urge,a joint news conference,urged,as,O,INCLUDES
generated,said,generate,say,has not generated,said,O,O,BEFORE
blast,generated,blast,generate,The bomb blast,has not generated,O,O,BEFORE
bombings,blast,bombing,blast,the bombings,The bomb blast,as,O,IDENTITY
bombings,rescue,bombing,rescue,the bombings,the rescue,O,O,BEFORE
conference,rescue,conference,rescue,a joint news conference,the rescue,as,because of,AFTER
speaking,said,speaking,say,speaking,said,because,because of,IDENTITY
speaking,conference,speaking,conference,speaking,a joint news conference,O,O,IS_INCLUDED
bombings,bombings,bombing,bombing,the bombings,the bombings,meanwhile,O,IDENTITY
dealt,bombings,deal,bombing,were dealt,the bombings,O,by,BEGUN_BY
counting,dealt,count,deal,are counting,were dealt,O,by,AFTER
blasts,counting,blast,count,the Aug. 7 terrorist blasts,are counting,meanwhile,O,BEGINS
pay,compensate,pay,compensate,to pay,to compensate,also,O,INCLUDES
approve,compensate,approve,compensate,to approve,to compensate,also,O,BEFORE
approve,pay,approve,pay,to approve,to pay,also,O,BEFORE
pledged,ask,pledge,ask,pledged to ask,pledged to ask,also,O,BEFORE
ask,approve,ask,approve,pledged to ask,to approve,also,O,BEFORE
announced,pledged,announce,pledge,announced,pledged to ask,also,O,BEFORE
meeting,pledged,meeting,pledge,meeting,pledged to ask,then,then,INCLUDES
meeting,announced,meeting,announce,meeting,announced,then,then,IS_INCLUDED
meeting,told,meeting,tell,meeting,told,then,then,INCLUDES
lavished,meeting,lavish,meeting,lavished,meeting,before,then,BEFORE
helped,lavished,help,lavish,helped hang,lavished,then,then,IBEFORE
helped,arrest,help,arrest,helped hang,the bombers QUOT arrest,O,O,BEFORE
allowed,helped,allow,help,were allowed,helped hang,also,O,BEFORE
toured,found,tour,find,toured,found,then,O,INCLUDES
bombing,explosion,bombing,explosion,bombing,the explosion,meanwhile,O,AFTER
allowed,explosion,allow,explosion,were allowed,the explosion,since,since,AFTER
toured,allowed,tour,allow,toured,were allowed,then,O,INCLUDES
wearing,toured,wear,tour,COMMA wearing,toured,then,O,DURING
handed,toured,hand,tour,handed,toured,then,O,BEFORE
handed,wearing,hand,wear,handed,COMMA wearing,then,O,BEFORE
laid,handed,lay,hand,laid,handed,then,O,BEFORE
blast,killed,blast,kill,the embassy blast,killed,O,O,IBEFORE
blasts,blast,blast,blast,the Aug. 7 terrorist blasts,the embassy blast,meanwhile,O,IDENTITY
left,blast,leave,blast,left,the embassy blast,next,by,AFTER
laid,left,lay,leave,laid,left,next,O,AFTER
spent,laid,spend,lay,spent,laid,before,after,INCLUDES
visit,returning,visit,return,a five-hour visit,returning,before,O,BEFORE
meet,visit,meet,visit,meet,a five-hour visit,before,O,IS_INCLUDED
talk,visit,talk,visit,talk,a five-hour visit,before,O,IS_INCLUDED
lay,visit,lie,visit,was scheduled to lay,a five-hour visit,before,O,IS_INCLUDED
talk,meet,talk,meet,talk,meet,O,O,BEFORE
talk,survived,talk,survive,talk,survived,O,O,AFTER
blasts,blast,blast,blast,the Aug. 7 terrorist blasts,the blast,meanwhile,O,IDENTITY
survived,blast,survive,blast,survived,the blast,O,O,AFTER
lay,talk,lie,talk,was scheduled to lay,talk,O,O,BEFORE
heading,lay,head,lie,heading,was scheduled to lay,before,after,BEFORE
flown,overheated,fly,overheat,had flown,Washington overheated,when,from,BEFORE
heading,overheated,head,overheat,heading,Washington overheated,when,from,AFTER
heading,flown,head,fly,heading,had flown,when,from,AFTER
flight,flown,flight,fly,a 16-hour flight,had flown,when,from,IDENTITY
spent,heading,spend,head,spent,heading,before,after,BEFORE
