token_e1,token_e2,lemma_e1,lemma_e2,pos_e1|pos_e2,mainpos_e1|mainpos_e2,chunk_e1|chunk_e2,ner_e1|ner_e2,same_pos,same_mainpos,ent_distance,sent_distance,ent_order,evclass_e1,tense-aspect_e1,pol_e1,tmxtype-value_e2,tmxdct_e2,deprel,ismainverb,temp_marker-position,temp_marker_deprel,timexrule, label
broke,Saturday,break,saturday,VVD|NP0,v|n,B-VP|B-NP,O|O,FALSE,FALSE,1,0,BEFORE,OCCURRENCE,PAST|NONE,pos,DATE|NNNN-NN-NN,FALSE,TMP,O,as|BETWEEN,SUB|SUB-TMP,O,IS_INCLUDED
said,Saturday,say,saturday,VVD|NP0,v|n,B-VP|B-NP,O|O,FALSE,FALSE,4,1,AFTER,REPORTING,PAST|NONE,pos,DATE|NNNN-NN-NN,FALSE,O,MAIN,O|O,O,O,IS_INCLUDED
missing,Saturday,miss,saturday,VVG|NP0,v|n,B-ADJP|B-NP,O|O,FALSE,FALSE,1,1,AFTER,OCCURRENCE,O|O,O,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O,O,IS_INCLUDED
expected,Saturday,expect,saturday,VVN|NP0,v|n,I-VP|B-NP,O|O,FALSE,FALSE,2,1,AFTER,I_STATE,PAST|NONE,pos,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O,O,IS_INCLUDED
bombings,Friday,bombing,friday,NN2|NP0,n|pn,I-NP|B-NP,O|O,FALSE,FALSE,9,3,BEFORE,OCCURRENCE,O|O,O,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O,O,IS_INCLUDED
injured,Friday,injure,friday,VVN|NP0,v|pn,I-NP|B-NP,O|O,FALSE,FALSE,9,2,BEFORE,OCCURRENCE,O|O,O,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O,O,IS_INCLUDED
appears,Saturday,appear,saturday,NN0|NP0,v|n,B-VP|B-NP,O|O,FALSE,FALSE,8,3,AFTER,OCCURRENCE,PRESENT|NONE,pos,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O,O,IS_INCLUDED
said,O,say,O,VVD|O,v|O,B-VP|O,O|O,FALSE,FALSE,-1,-1,O,REPORTING,PAST|NONE,pos,TIME|NNNN-NN-NN,TRUE,O,MAIN,O|O,O,O,BEFORE
claimed,Saturday,claim,saturday,VVN|NP0,v|n,I-VP|B-NP,O|O,FALSE,FALSE,11,4,AFTER,REPORTING,PRESENT|PERFECTIVE,neg,DATE|NNNN-NN-NN,FALSE,O,MAIN,O|O,O,O,IS_INCLUDED
claimed,O,claim,O,VVN|O,v|O,I-VP|O,O|O,FALSE,FALSE,-1,-1,O,REPORTING,PRESENT|PERFECTIVE,neg,TIME|NNNN-NN-NN,TRUE,O,MAIN,O|O,O,O,ENDED_BY
blast,Friday,blast,friday,NN1|NP0,n|pn,I-NP|B-NP,O|O,FALSE,FALSE,6,3,AFTER,OCCURRENCE,O|O,O,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O,O,IS_INCLUDED
shook,Saturday,shake,saturday,VVD|NP0,v|n,B-VP|B-NP,O|O,FALSE,FALSE,3,1,BEFORE,OCCURRENCE,PAST|NONE,pos,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O,O,IS_INCLUDED
shook,O,shake,O,VVD|O,v|O,B-VP|O,O|O,FALSE,FALSE,-1,-1,O,OCCURRENCE,PAST|NONE,pos,TIME|NNNN-NN-NN,TRUE,O,O,O|O,O,O,BEFORE
prevented,Saturday,prevent,saturday,VVN|NP0,v|n,I-VP|B-NP,O|O,FALSE,FALSE,2,0,BEFORE,I_ACTION,NONE|PERFECTIVE,pos,DATE|NNNN-NN-NN,FALSE,O,O,in|BETWEEN,VC-VC-OBJ-NMOD-PMOD-LOC|O,O,BEFORE
said,Saturday,say,saturday,VVD|NP0,v|n,B-VP|B-NP,O|O,FALSE,FALSE,1,0,BEFORE,REPORTING,PAST|NONE,pos,DATE|NNNN-NN-NN,FALSE,TMP,MAIN,in|BETWEEN,OBJ-VC-VC-OBJ-NMOD-PMOD-LOC|O,O,IS_INCLUDED
swaying,Saturday,sway,saturday,VVG|NP0,v|n,B-VP|B-NP,O|O,FALSE,FALSE,1,2,AFTER,OCCURRENCE,PRESPART|NONE,pos,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O,O,BEFORE
plagues,Saturday,plague,saturday,NN0|NP0,v|n,B-VP|B-NP,O|O,FALSE,FALSE,2,2,AFTER,STATE,PRESENT|NONE,pos,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O,O,BEFORE
bombings,Monday,bombing,monday,NN2|NP0,n|pn,I-NP|B-NP,O|O,FALSE,FALSE,1,0,AFTER,OCCURRENCE,O|O,O,DATE|NNNN-NN-NN,FALSE,O,O,in|AFTER,LOC-PMOD|O,O,BEFORE
Injured,Monday,injured,monday,NP0|NP0,adj|pn,I-NP|B-NP,O|O,TRUE,FALSE,2,3,AFTER,OCCURRENCE,O|O,O,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O,O,BEFORE
Treated,Monday,treated,monday,NP0|NP0,v|pn,I-NP|B-NP,O|O,TRUE,FALSE,3,3,AFTER,OCCURRENCE,O|O,O,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O,O,BEFORE
discharged,Monday,discharge,monday,VVD|NP0,v|pn,I-NP|B-NP,O|O,FALSE,FALSE,4,3,AFTER,OCCURRENCE,O|O,O,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O,O,BEFORE
offered,Tuesday,offer,tuesday,VVD|NP0,v|n,B-VP|B-NP,O|O,FALSE,FALSE,3,0,AFTER,OCCURRENCE,PAST|NONE,pos,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O|O,O,IS_INCLUDED
extend,Tuesday,extend,tuesday,VVI|NP0,v|n,B-VP|B-NP,O|O,FALSE,FALSE,4,1,AFTER,OCCURRENCE,PRESENT|NONE,pos,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O,O,IS_INCLUDED
said,Tuesday,say,tuesday,VVD|NP0,v|n,B-VP|B-NP,O|O,FALSE,FALSE,6,1,AFTER,REPORTING,PAST|NONE,pos,DATE|NNNN-NN-NN,FALSE,O,MAIN,O|O,O,O,IS_INCLUDED
condemned,Tuesday,condemn,tuesday,VVD|NP0,v|n,B-VP|B-NP,O|O,FALSE,FALSE,1,0,AFTER,OCCURRENCE,PAST|NONE,pos,DATE|NNNN-NN-NN,FALSE,TMP-PMOD,MAIN,O|O,O|O,O,IS_INCLUDED
bombings,Tuesday,bombing,tuesday,NN2|NP0,n|n,I-NP|B-NP,O|O,FALSE,TRUE,2,0,AFTER,OCCURRENCE,O|O,O,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O|O,O,BEFORE
condemned,Thursday,condemn,thursday,VVD|NP0,v|n,B-VP|B-NP,O|O,FALSE,FALSE,2,0,BEFORE,OCCURRENCE,PAST|NONE,pos,DATE|NNNN-NN-NN,FALSE,TMP-PMOD,MAIN,in|BETWEEN,TMP|O,O,IS_INCLUDED
condemned,O,condemn,O,VVD|O,v|O,B-VP|O,O|O,FALSE,FALSE,-1,-1,O,OCCURRENCE,PAST|NONE,pos,TIME|NNNN-NN-NN,TRUE,O,MAIN,O|O,O,O,BEFORE
bombing,Aug._7,bombing,aug._7,NN1|NP0_CRD,n|O_n,I-NP|B-NP_I-NP,O|O,FALSE,FALSE,22,5,BEFORE,OCCURRENCE,O|O,O,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O,O,IS_INCLUDED
called,O,call,O,VVD|O,v|O,B-VP|O,O|O,FALSE,FALSE,-1,-1,O,REPORTING,PAST|NONE,pos,TIME|NNNN-NN-NN,TRUE,O,O,O|O,O,O,BEFORE
resolution,Thursday,resolution,thursday,NN1|NP0,n|n,I-NP|B-NP,O|O,FALSE,TRUE,4,1,AFTER,OCCURRENCE,O|O,O,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O,O,BEFORE
adopted,O,adopt,O,VVN|O,v|O,B-VP|O,O|O,FALSE,FALSE,-1,-1,O,OCCURRENCE,PASTPART|NONE,pos,TIME|NNNN-NN-NN,TRUE,O,O,O|O,O,O,BEFORE
attacks,Aug._7,attack,aug._7,NN2|NP0_CRD,n|O_n,B-NP|B-NP_I-NP,O|O,FALSE,FALSE,1,0,BEFORE,OCCURRENCE,O|O,O,DATE|NNNN-NN-NN,FALSE,TMP,O,in|AFTER,NMOD-PMOD-LOC|O,O,IS_INCLUDED
incidents,Aug._7,incident,aug._7,NN2|NP0_CRD,n|O_n,I-NP|B-NP_I-NP,O|O,FALSE,FALSE,1,0,BEFORE,OCCURRENCE,O|O,O,DATE|NNNN-NN-NN,FALSE,NMOD-PMOD-NMOD,O,O|O,O|O,O,IS_INCLUDED
visit,Tuesday,visit,tuesday,NN1|NP0,n|n,I-NP|I-NP,O|O,FALSE,TRUE,2,0,AFTER,OCCURRENCE,O|O,O,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O|O,O,IS_INCLUDED
arrived,Tuesday,arrive,tuesday,VVD|NP0,v|n,B-VP|I-NP,O|O,FALSE,FALSE,8,2,AFTER,OCCURRENCE,PAST|NONE,pos,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O,O,IS_INCLUDED
defend,Friday,defend,friday,VVB|NP0,v|pn,I-VP|B-NP,O|O,FALSE,FALSE,3,0,BEFORE,OCCURRENCE,INFINITIVE|NONE,pos,DATE|NNNN-NN-NN,FALSE,O,O,to|BETWEEN,IM|O,O,BEFORE
actions,Aug._7,action,aug._7,NN2|NP0_CRD,n|O_n,I-NP|B-NP_I-NP,O|O,FALSE,FALSE,19,4,BEFORE,OCCURRENCE,O|O,O,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O,O,IS_INCLUDED
said,Friday,say,friday,VVD|NP0,v|pn,B-VP|B-NP,O|O,FALSE,FALSE,1,0,BEFORE,REPORTING,PAST|NONE,pos,DATE|NNNN-NN-NN,FALSE,TMP,MAIN,to|AFTER,ADV-PMOD-NMOD|O,O,IS_INCLUDED
wrapped,Wednesday,wrap,wednesday,VVD|NP0,v|n,B-VP|B-NP,O|O,FALSE,FALSE,1,0,BEFORE,OCCURRENCE,PAST|NONE,pos,DATE|NNNN-NN-NN,FALSE,TMP-PMOD,MAIN,O|O,O|O,O,IS_INCLUDED
bombing,last_month,bombing,last_month,NN1|AJ0_NN1,n|adj_n,I-NP|B-NP_I-NP,O|O,FALSE,FALSE,1,0,BEFORE,OCCURRENCE,O|O,O,DATE|NNNN-NN,FALSE,O,O,in|BETWEEN,LOC|O,O,IS_INCLUDED
joining,April,join,april,VVG|NP0,v|n,B-VP|B-NP,O|O,FALSE,FALSE,8,2,BEFORE,STATE,PRESPART|NONE,pos,DATE|NNNN-NN,FALSE,O,O,O|O,O,O,INCLUDES
said,Saturday,say,saturday,VVD|NP0,v|n,B-VP|B-NP,O|O,FALSE,FALSE,1,0,BEFORE,REPORTING,PAST|NONE,pos,DATE|NNNN-NN-NN,FALSE,TMP,MAIN,O|O,O|O,O,IS_INCLUDED
said,Saturday,say,saturday,VVD|NP0,v|n,B-VP|B-NP,O|O,FALSE,FALSE,15,4,AFTER,REPORTING,PAST|NONE,pos,DATE|NNNN-NN-NN,FALSE,O,MAIN,O|O,O,O,IS_INCLUDED
ending,Saturday,end,saturday,VVG|NP0,v|n,B-VP|B-NP,O|O,FALSE,FALSE,12,4,AFTER,ASPECTUAL,PRESPART|NONE,pos,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O,O,BEFORE
became,early_this_week,become,early_this_week,VVD|AV0_AT0_NN1,v|adv_pron_n,B-VP|B-NP_I-NP,O|O,FALSE,FALSE,1,0,AFTER,STATE,PAST|NONE,pos,DATE|NNNN-NN-XX,FALSE,TMP,MAIN,O|O,O|O,O,IS_INCLUDED
join,April,join,april,VVB|NP0,v|n,I-VP|B-NP,O|O,FALSE,FALSE,1,0,BEFORE,OCCURRENCE,INFINITIVE|NONE,pos,DATE|NNNN-NN,FALSE,TMP-PMOD,MAIN,O|O,O|O,O,IS_INCLUDED
marking,April,mark,april,VVG|NP0,v|n,B-VP|B-NP,O|O,FALSE,FALSE,1,0,AFTER,OCCURRENCE,PRESPART|NONE,pos,DATE|NNNN-NN,FALSE,O,O,as|BEFORE,PMOD-NMOD-PMOD|O,O,IS_INCLUDED
join,April,join,april,VVB|NP0,v|n,I-VP|B-NP,O|O,FALSE,FALSE,11,2,AFTER,OCCURRENCE,INFINITIVE|NONE,pos,DATE|NNNN-NN,FALSE,O,O,O|O,O,O,IS_INCLUDED
summit,April,summit,april,NN1|NP0,n|n,I-NP|B-NP,O|O,FALSE,TRUE,1,0,BEFORE,OCCURRENCE,O|O,O,DATE|NNNN-NN,FALSE,LOC-PMOD,O,O|O,O|O,O,IS_INCLUDED
visit,two-day,visit,two-day,NN1|AJ0,n|O,I-NP|I-NP,O|O,FALSE,FALSE,1,0,AFTER,OCCURRENCE,O|O,O,DURATION|PND,FALSE,NMOD,O,O|O,O|O,O,IS_INCLUDED
said,two-day,say,two-day,VVD|AJ0,v|O,B-VP|I-NP,O|O,FALSE,FALSE,2,0,AFTER,REPORTING,PAST|NONE,pos,DURATION|PND,FALSE,ADV-OBJ-NMOD,MAIN,O|O,O|O,O,IS_INCLUDED
said,Friday,say,friday,VVD|NP0,v|pn,B-VP|B-NP,O|O,FALSE,FALSE,1,0,BEFORE,REPORTING,PAST|NONE,pos,DATE|NNNN-NN-NN,FALSE,TMP,MAIN,O|O,O|O,O,IS_INCLUDED
lived,last_year,live,last_year,VVD|AJ0_NN1,v|adj_n,B-VP|B-NP_I-NP,O|O,FALSE,FALSE,1,0,BEFORE,I_STATE,PAST|NONE,pos,DATE|NNNN-NN,FALSE,TMP,O,O|O,O|O,O,INCLUDES
shooting,Oct._23,shooting,oct._23,NN1|NP0_CRD,n|O_n,I-NP|I-NP,O|O,FALSE,FALSE,1,0,AFTER,OCCURRENCE,O|O,O,DATE|NNNN-NN-NN,FALSE,NMOD,O,O|O,O|O,O,IS_INCLUDED
participant,last_three_years,participant,last_three_year,NN1|AJ0_CRD_NN2,n|adj_n,I-NP|I-NP,O|O,FALSE,FALSE,3,0,BEFORE,STATE,O|O,O,SET|PNY,FALSE,COORD-CONJ-TMP-PMOD-NMOD-PMOD,O,in|BETWEEN,COORD-CONJ-TMP|PMOD-NMOD-PMOD,O,IS_INCLUDED
arrested,last_three_years,arrest,last_three_year,VVN|AJ0_CRD_NN2,v|adj_n,I-VP|I-NP,O|O,FALSE,FALSE,2,0,BEFORE,OCCURRENCE,PASTPART|NONE,pos,SET|PNY,FALSE,TMP-PMOD-NMOD-PMOD,O,in|BETWEEN,TMP|PMOD-NMOD-PMOD,O,IS_INCLUDED
march,last_three_years,march,last_three_year,NN1|AJ0_CRD_NN2,n|adj_n,I-NP|I-NP,O|O,FALSE,FALSE,1,0,BEFORE,OCCURRENCE,O|O,O,SET|PNY,FALSE,O,O,in|BETWEEN,O|PMOD-NMOD-PMOD,O,IS_INCLUDED
reported,Friday,report,friday,VVD|NP0,v|pn,B-VP|B-NP,O|O,FALSE,FALSE,1,0,BEFORE,REPORTING,PAST|NONE,pos,DATE|NNNN-NN-NN,FALSE,OBJ,MAIN,O|O,O|O,O,IS_INCLUDED
was,Friday,be,friday,VVD|NP0,v|pn,B-VP|B-NP,O|O,FALSE,FALSE,1,0,AFTER,STATE,PAST|NONE,pos,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O|O,O,BEFORE
found,Friday,find,friday,VVN|NP0,v|pn,I-VP|B-NP,O|O,FALSE,FALSE,2,0,AFTER,OCCURRENCE,PASTPART|NONE,pos,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O|O,O,BEFORE
buried,Friday,bury,friday,VVN|NP0,v|pn,I-VP|B-NP,O|O,FALSE,FALSE,3,0,AFTER,OCCURRENCE,PASTPART|NONE,pos,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O|O,O,BEFORE
believe,Friday,believe,friday,VVB|NP0,v|pn,B-VP|B-NP,O|O,FALSE,FALSE,4,0,AFTER,I_STATE,PRESENT|NONE,pos,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O|O,O,INCLUDES
stood,Friday,stand,friday,VVD|NP0,v|pn,B-VP|B-NP,O|O,FALSE,FALSE,5,0,AFTER,OCCURRENCE,PAST|NONE,pos,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O|O,O,BEFORE
fired,Friday,fire,friday,VVD|NP0,v|pn,B-VP|B-NP,O|O,FALSE,FALSE,6,0,AFTER,OCCURRENCE,PAST|NONE,pos,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O|O,O,BEFORE
visit,Last_week,visit,last_week,NN1|AJ0_NN1,n|adj_n,I-NP|B-NP_I-NP,O|O,FALSE,FALSE,1,0,AFTER,OCCURRENCE,O|O,O,DATE|NNNN-NN,FALSE,O,O,on|AFTER,PMOD|O,O,IS_INCLUDED
asked,Last_week,ask,last_week,VVD|AJ0_NN1,v|adj_n,B-VP|B-NP_I-NP,O|O,FALSE,FALSE,2,0,AFTER,I_ACTION,PAST|NONE,pos,DATE|NNNN-NN,FALSE,TMP,O,on|AFTER,LOC|O,O,IS_INCLUDED
join,Last_week,join,last_week,VVB|AJ0_NN1,v|adj_n,I-VP|B-NP_I-NP,O|O,FALSE,FALSE,3,0,AFTER,OCCURRENCE,INFINITIVE|NONE,pos,DATE|NNNN-NN,FALSE,O,O,on|AFTER,O|O,O,BEGUN_BY
hunt,Last_week,hunt,last_week,NN1|AJ0_NN1,n|adj_n,I-NP|B-NP_I-NP,O|O,FALSE,FALSE,4,0,AFTER,OCCURRENCE,O|O,O,DATE|NNNN-NN,FALSE,O,O,on|AFTER,O|O,O,INCLUDES
spotted,weeks,spot,week,VVN|NN2,v|n,I-VP|I-NP,O|O,FALSE,FALSE,1,0,BEFORE,PERCEPTION,PAST|NONE,pos,DATE|NNNN-NN,FALSE,VC-TMP-PMOD,O,before|AFTER,VC-TMP|O,O,IS_INCLUDED
discovered,last_month,discover,last_month,VVN|AJ0_NN1,v|adj_n,I-VP|B-NP_I-NP,O|O,FALSE,FALSE,1,0,BEFORE,OCCURRENCE,PAST|NONE,pos,DATE|NNNN-NN,FALSE,VC-TMP,O,O|O,O|O,O,IS_INCLUDED
been,two_weeks,be,two_week,VVN|CRD_NN2,v|adj_n,I-VP|I-NP,O|O,FALSE,FALSE,1,0,BEFORE,STATE,PAST|PERFECTIVE,pos,DURATION|PNW,FALSE,VC-TMP-PMOD,O,for|BETWEEN,VC-TMP|PMOD,O,IS_INCLUDED
said,Friday,say,friday,VVD|NP0,v|pn,B-VP|B-NP,O|O,FALSE,FALSE,1,0,BEFORE,REPORTING,PAST|NONE,pos,DATE|NNNN-NN-NN,FALSE,TMP,MAIN,O|O,O|O,O,IS_INCLUDED
seek,Friday,seek,friday,VVB|NP0,v|pn,I-VP|B-NP,O|O,FALSE,FALSE,1,0,AFTER,OCCURRENCE,PRESENT|NONE,pos,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O|O,O,AFTER
was,this_week,be,this_week,VVD|AT0_NN1,v|pron_n,B-VP|B-NP_I-NP,O|O,FALSE,FALSE,4,0,BEFORE,STATE,PAST|NONE,pos,DATE|NNNN-NN,FALSE,PRD-NMOD-PMOD-NMOD-TMP,O,to|BETWEEN,PRD-NMOD-PMOD-NMOD-ADV|O,O,INCLUDES
trial,this_week,trial,this_week,NN1|AT0_NN1,n|pron_n,I-NP|B-NP_I-NP,O|O,FALSE,FALSE,3,0,BEFORE,OCCURRENCE,O|O,O,DATE|NNNN-NN,FALSE,NMOD-TMP,O,to|BETWEEN,NMOD-ADV|O,O,INCLUDES
led,this_week,lead,this_week,VVD|AT0_NN1,v|pron_n,B-VP|B-NP_I-NP,O|O,FALSE,FALSE,2,0,BEFORE,I_ACTION,PAST|NONE,pos,DATE|NNNN-NN,FALSE,TMP,O,to|BETWEEN,ADV|O,O,INCLUDES
verdict,this_week,verdict,this_week,NN1|AT0_NN1,n|pron_n,B-NP|B-NP_I-NP,O|O,FALSE,FALSE,1,0,BEFORE,OCCURRENCE,O|O,O,DATE|NNNN-NN,FALSE,O,O,O|O,O|O,O,IS_INCLUDED
was,this_week,be,this_week,VVD|AT0_NN1,v|pron_n,B-VP|B-NP_I-NP,O|O,FALSE,FALSE,1,1,AFTER,STATE,PAST|NONE,neg,DATE|NNNN-NN,FALSE,O,MAIN,O|O,O,O,INCLUDES
suit,this_week,suit,this_week,NN1|AT0_NN1,n|pron_n,I-NP|B-NP_I-NP,O|O,FALSE,FALSE,2,1,AFTER,OCCURRENCE,O|O,O,DATE|NNNN-NN,FALSE,O,O,O|O,O,O,INCLUDES
ruled,this_week,rule,this_week,VVD|AT0_NN1,v|pron_n,B-VP|B-NP_I-NP,O|O,FALSE,FALSE,3,1,AFTER,I_ACTION,PAST|NONE,pos,DATE|NNNN-NN,FALSE,O,O,O|O,O,O,IS_INCLUDED
provided,Thursday,provide,thursday,VVD|NP0,v|n,B-VP|B-NP,O|O,FALSE,FALSE,2,0,BEFORE,OCCURRENCE,PAST|NONE,pos,DATE|NNNN-NN-NN,FALSE,O,O,for|BETWEEN,OBJ-NMOD|O,O,BEFORE
closed,Thursday,close,thursday,VVD|NP0,v|n,B-VP|B-NP,O|O,FALSE,FALSE,1,0,BEFORE,OCCURRENCE,PAST|NONE,pos,DATE|NNNN-NN-NN,FALSE,TMP-NMOD,O,for|BETWEEN,SBJ-NMOD-OBJ-NMOD|O,O,IS_INCLUDED
violating,Thursday,violate,thursday,VVG|NP0,v|n,B-VP|B-NP,O|O,FALSE,FALSE,1,0,AFTER,OCCURRENCE,PRESPART|NONE,pos,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O|O,O,INCLUDES
gunned,last_October,gun,last_october,VVN|AJ0_NP0,v|adj_pn,I-VP|B-NP_I-NP,O|O,FALSE,FALSE,1,0,AFTER,OCCURRENCE,PAST|NONE,pos,DATE|NNNN-NN,FALSE,O,O,when|BEFORE,VC-TMP|O,O,IS_INCLUDED
crossed,that_same_day,cross,that_same_day,VVN|CJT_AJ0_NN1,v|pron_adj_n,I-VP|B-NP_I-NP,O|O,FALSE,FALSE,1,0,BEFORE,OCCURRENCE,PAST|NONE,pos,DATE|NNNN-NN-XX,FALSE,VC-TMP,O,on|BETWEEN,SBJ-LOC|O,O,IS_INCLUDED
informed,Friday,inform,friday,VVN|NP0,v|pn,I-VP|B-NP,O|O,FALSE,FALSE,1,0,BEFORE,PERCEPTION,PAST|NONE,pos,DATE|NNNN-NN-NN,FALSE,VC-OBJ,O,O|O,O|O,O,IS_INCLUDED
violated,Friday,violate,friday,VVD|NP0,v|pn,B-VP|B-NP,O|O,FALSE,FALSE,1,0,AFTER,OCCURRENCE,PAST|NONE,pos,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O|O,O,INCLUDES
ceremony,March_12,ceremony,march_12,NN1|NP0_CRD,n|n,I-NP|B-NP_I-NP,O|O,FALSE,TRUE,1,0,BEFORE,OCCURRENCE,O|O,O,DATE|NNNN-NN-NN,FALSE,TMP-PMOD,O,in|BETWEEN,LOC-PMOD-NMOD|O,O,IS_INCLUDED
mark,March_12,mark,march_12,VVB|NP0_CRD,v|n,I-VP|B-NP_I-NP,O|O,FALSE,FALSE,1,0,AFTER,I_ACTION,INFINITIVE|NONE,pos,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O|O,O,IS_INCLUDED
accession,March_12,accession,march_12,NN1|NP0_CRD,n|n,I-NP|B-NP_I-NP,O|O,FALSE,TRUE,2,0,AFTER,OCCURRENCE,O|O,O,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O|O,O,BEFORE
ceremony,March_12,ceremony,march_12,NN1|NP0_CRD,n|n,I-NP|B-NP_I-NP,O|O,FALSE,TRUE,3,1,AFTER,OCCURRENCE,O|O,O,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O,O,IS_INCLUDED
chosen,March_12,choose,march_12,VVN|NP0_CRD,v|n,I-VP|B-NP_I-NP,O|O,FALSE,FALSE,5,2,AFTER,I_ACTION,PAST|NONE,pos,DATE|NNNN-NN-NN,FALSE,O,O,O|O,O,O,BEFORE
announcement,50_years_ago,announcement,50_year_ago,NN1|CRD_NN2_AV0,n|n_adv,I-NP|I-NP_O,O|O,FALSE,FALSE,2,0,BEFORE,REPORTING,O|O,O,DATE|NNNN-XX,FALSE,O,O,by|BETWEEN,NMOD|O,O,IS_INCLUDED
